HS 1996 Product Code,HS 1996 Product Description,CPC Product Code,CPC Product Description
030420,Frozen fillets,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030490,Other,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030510,"Flours, meals and pellets of fish, fit for human consumption",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030520,"Livers and roes, dried, smoked, salted or in brine",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030530,"Fish fillets, dried, salted or in brine, but not smoked",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030541,"Smoked fish, including fillets :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Altantic salmon (Salmo s",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030542,"Smoked fish, including fillets :-- Herrings (Clupea harengus, Clupea pallasii)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030549,"Smoked fish, including fillets :-- Other",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030551,"Dried fish, whether or not salted but not smoked :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030559,"Dried fish, whether or not salted but not smoked :-- Other",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030561,"Fish, salted but not dried or smoked and fish in brine :-- Herrings (Clupea harengus, Clupea pallasii)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030562,"Fish, salted but not dried or smoked and fish in brine :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030563,"Fish, salted but not dried or smoked and fish in brine :-- Anchovies (Engraulis spp.)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030569,"Fish, salted but not dried or smoked and fish in brine :-- Other",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030611,"Frozen :-- Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030612,Frozen :-- Lobsters (Homarus spp.),2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030613,Frozen :-- Shrimps and prawns,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030614,Frozen :-- Crabs,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030619,"Frozen :-- Other, including flours, meals and pellets of crustaceans, fit for human consumption",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030621,"Not frozen :-- Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",0421,"Crustaceans, not frozen"
030622,Not frozen :-- Lobsters (Homarus spp.),0421,"Crustaceans, not frozen"
030623,Not frozen :-- Shrimps and prawns,0421,"Crustaceans, not frozen"
030624,Not frozen :-- Crabs,0421,"Crustaceans, not frozen"
030629,"Not frozen :-- Other, including flours, meals and pellets of crustaceans, fit for human consumption",0421,"Crustaceans, not frozen"
030710,Oysters,0422,Oysters
030721,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten :-- Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030729,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten :-- Other",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030731,"Mussels (Mytilus spp., Perna spp.) :-- Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030739,"Mussels (Mytilus spp., Perna spp.) :-- Other",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030741,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) and squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.) :-- Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030749,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) and squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.) :-- Other",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030751,"Octopus (Octopus spp.) :-- Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030759,Octopus (Octopus spp.) :-- Other,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030760,"Snails, other than sea snails",0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
030791,"Other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption :-- Live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030799,"Other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption :-- Other",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
040110,"Of a fat content, by weight, not exceeding 1 %",2211,Processed liquid milk
040120,"Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",2211,Processed liquid milk
040130,"Of a fat content, by weight, exceeding 6 %",2212,Cream
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",2291,Milk and cream in solid forms
040221,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Not containing added sugar or other sweetening matter",2291,Milk and cream in solid forms
040229,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Other",2291,Milk and cream in solid forms
040291,Other :-- Not containing added sugar or other sweetening matter,2292,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in"
040299,Other,2292,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in"
040310,Yogurt,2293,Yoghurt and other fermented or acidified milk and cream
040390,Other,2293,Yoghurt and other fermented or acidified milk and cream
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",2299,Dairy products n.e.c.
040490,Other,2299,Dairy products n.e.c.
040510,Butter,2294,Butter and other fats and oils derived from milk
040520,Dairy spreads,2294,Butter and other fats and oils derived from milk
040590,Other,2294,Butter and other fats and oils derived from milk
040610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",2295,Cheese and curd
040620,"Grated or powdered cheese, of all kinds",2295,Cheese and curd
040630,"Processed cheese, not grated or powdered",2295,Cheese and curd
040640,Blue-veined cheese,2295,Cheese and curd
040690,Other cheese,2295,Cheese and curd
040700,"Birds' eggs, in shell, fresh, preserved or cooked.",0292,"Eggs, in shell, fresh, preserved or cooked"
040811,"Egg yolks :- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Dried",23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040819,"Egg yolks :- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Other",23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040891,Other :-- Dried,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040899,Other,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040900,Natural honey.,0293,Natural honey
041000,"Edible products of animal origin, not elsewhere specified or included.",0295,Edible products of animal origin n.e.c.
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",38971,"Human hair, unworked, whether or not washed or scoured; waste of human hair"
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050290,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050300,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",02963,"Fine or coarse animal hair (including horsehair), not carded or combed"
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050510,Feathers of a kind used for stuffing; down,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050590,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050610,Ossein and bones treated with acid,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050690,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050710,Ivory; ivory powder and waste,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050790,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050800,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste there",0491,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
050900,Natural sponges of animal origin.,0492,Natural sponges of animal origin
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally prese",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
051110,Bovine semen,0299,Bovine semen
051191,"Other :- Egg yolks :-- Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",21299,"Products n.e.c. of fish, crustaceans, molluscs or other aquatic invertebrates; dead fish,"
051199,Other,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060210,Unrooted cuttings and slips,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060230,"Rhododendrons and azaleas, grafted or not",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060240,"Roses, grafted or not",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060290,Other,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060310,Fresh,0152,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and"
060390,Other,0152,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and"
060410,Mosses and lichens,0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
060491,Other :- Egg yolks :-- Fresh,0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
060499,Other,0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
070110,Seed,0121,Potatoes
070190,Other,0121,Potatoes
070200,"Tomatoes, fresh or chilled.",0123,"Other vegetables, fresh or chilled"
070310,Onions and shallots,0123,"Other vegetables, fresh or chilled"
070320,Garlic,0123,"Other vegetables, fresh or chilled"
070390,Leeks and other alliaceous vegetables,0123,"Other vegetables, fresh or chilled"
070410,Cauliflowers and headed broccoli,0123,"Other vegetables, fresh or chilled"
070420,Brussels sprouts,0123,"Other vegetables, fresh or chilled"
070490,Other,0123,"Other vegetables, fresh or chilled"
070511,Lettuce :-- Cabbage lettuce (head lettuce),0123,"Other vegetables, fresh or chilled"
070519,Lettuce :-- Other,0123,"Other vegetables, fresh or chilled"
070521,Chicory :-- Witloof chicory (Cichorium intybus var.foliosum),0123,"Other vegetables, fresh or chilled"
070529,Chicory :-- Other,0123,"Other vegetables, fresh or chilled"
070610,Carrots and turnips,0123,"Other vegetables, fresh or chilled"
070690,Other,0123,"Other vegetables, fresh or chilled"
070700,"Cucumbers and gherkins, fresh or chilled.",0123,"Other vegetables, fresh or chilled"
070810,Peas (Pisum sativum),0123,"Other vegetables, fresh or chilled"
070820,"Beans (Vigna spp., Phaseolus spp.)",0123,"Other vegetables, fresh or chilled"
070890,Other leguminous vegetables,0123,"Other vegetables, fresh or chilled"
070910,Globe artichokes,0123,"Other vegetables, fresh or chilled"
070920,Asparagus,0123,"Other vegetables, fresh or chilled"
070930,Aubergines (egg-plants),0123,"Other vegetables, fresh or chilled"
070940,Celery other than celeriac,0123,"Other vegetables, fresh or chilled"
070951,Mushrooms and truffles :-- Mushrooms,0123,"Other vegetables, fresh or chilled"
070952,Mushrooms and truffles :-- Truffles,0123,"Other vegetables, fresh or chilled"
070960,Fruits of the genus Capsicum or of the genus Pimenta,0123,"Other vegetables, fresh or chilled"
070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0123,"Other vegetables, fresh or chilled"
070990,Other,0123,"Other vegetables, fresh or chilled"
071010,Potatoes,2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071021,"Leguminous vegetables, shelled or unshelled :-- Peas (Pisum sativum)",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
