SITC Revision 2 Product Code,SITC Revision 2 Product Description,BEC Product Code,BEC Product Description
69912,"Safes,strong boxes,strong room doors and the like",41,Capital goods (except for transport equipment)
7111,Steam & other vapour generating boilers,41,Capital goods (except for transport equipment)
7112,"Auxiliary plant for use with boilers,of 711.1-",41,Capital goods (except for transport equipment)
7126,"Steam & other vapour power units,steam engines",41,Capital goods (except for transport equipment)
7138,"Int.comb.piston engines,n.e.s.",41,Capital goods (except for transport equipment)
7161,"Motors & generators,direct current",41,Capital goods (except for transport equipment)
71621,Elect.motors other than direct current,41,Capital goods (except for transport equipment)
71622,"Generators,alternating current",41,Capital goods (except for transport equipment)
71623,Generating sets with int.comb.piston engines,41,Capital goods (except for transport equipment)
7163,Rotary converters,41,Capital goods (except for transport equipment)
7187,Nuclear reactors and parts,41,Capital goods (except for transport equipment)
71881,Water turbines,41,Capital goods (except for transport equipment)
71882,Other hydraulic engines and motors,41,Capital goods (except for transport equipment)
71888,Other engines and motors n.e.s.,41,Capital goods (except for transport equipment)
72111,Ploughs,41,Capital goods (except for transport equipment)
72112,"Seeders,planters fertilizer distributors,spreaders",41,Capital goods (except for transport equipment)
72113,"Scarifiers,cultivators,weeders,hoes & harrows",41,Capital goods (except for transport equipment)
72118,Other agric. & hortic.machinery for soil prepar.,41,Capital goods (except for transport equipment)
72122,Combined harvester-threshers,41,Capital goods (except for transport equipment)
72123,"Other harvesting and threshing machinery,presses",41,Capital goods (except for transport equipment)
72124,Winnowing & similar cleaning machines for seed etc,41,Capital goods (except for transport equipment)
72131,Milking machines,41,Capital goods (except for transport equipment)
72138,Other dairy machinery,41,Capital goods (except for transport equipment)
72191,"Presses,crushers & other mach of wine/cider making",41,Capital goods (except for transport equipment)
72197,"Other agric.hortic.,poultry-bee keeping machinery",41,Capital goods (except for transport equipment)
7223,Track-laying tractors,41,Capital goods (except for transport equipment)
7224,"Wheeled tractors,not incl. in 744.11/783.2-",41,Capital goods (except for transport equipment)
7233,"Road rollers,mechanically propelled",41,Capital goods (except for transport equipment)
72341,"Bulldozers,angledozers & levellers,self propelled",41,Capital goods (except for transport equipment)
72342,"Mechanical shovels & excavators,self propelled",41,Capital goods (except for transport equipment)
72343,"Other excavating,levelling,boring machinery etc.",41,Capital goods (except for transport equipment)
72344,Boring & sinking machinery not self-propelled,41,Capital goods (except for transport equipment)
72345,"Pile-drivers,snow-ploughs not self-propelled",41,Capital goods (except for transport equipment)
72346,"Other excavating,levelling,extracting machinery",41,Capital goods (except for transport equipment)
72348,Mach.& mechanical appliances for public works,41,Capital goods (except for transport equipment)
72441,Mach.for extruding man-made textiles,41,Capital goods (except for transport equipment)
72442,Mach.for processing natural of man-made tex.fibres,41,Capital goods (except for transport equipment)
72443,Textile spinning & twisting mach.etc,41,Capital goods (except for transport equipment)
72451,Weaving machines (looms),41,Capital goods (except for transport equipment)
72452,Knitting machines,41,Capital goods (except for transport equipment)
72453,"Mach.for making gimped yarn,tulle lace etc",41,Capital goods (except for transport equipment)
72454,Mach.for the manufacture or finishing of felt,41,Capital goods (except for transport equipment)
72461,Auxil.machinery for headings 724.51/52/53 724.61,41,Capital goods (except for transport equipment)
72471,Clothes-washing-machines of a capacity exceed.6kg,41,Capital goods (except for transport equipment)
72472,Dry-cleaning machines,41,Capital goods (except for transport equipment)
72473,"Drying machines,industrial. for 741.6-,743.5-",41,Capital goods (except for transport equipment)
72474,"Mach for washing,cleaning,bleaching dyeing etc.",41,Capital goods (except for transport equipment)
7248,"Mach.for preparing,tanning or working hides",41,Capital goods (except for transport equipment)
72511,Mach.for making cellulosic pulp,41,Capital goods (except for transport equipment)
72512,Mach.for making/finishing paper or paperboard,41,Capital goods (except for transport equipment)
7252,Paper & paperboard cutting mach.of all kinds,41,Capital goods (except for transport equipment)
72631,"Mach.,appar.,access.for type founding or setting",41,Capital goods (except for transport equipment)
72641,Rotary printing presses,41,Capital goods (except for transport equipment)
72642,Platen printing presses,41,Capital goods (except for transport equipment)
72671,Printing machinery,41,Capital goods (except for transport equipment)
72672,Mach.for uses ancillary to printing,41,Capital goods (except for transport equipment)
72681,Bookbinding machinery,41,Capital goods (except for transport equipment)
72711,Mach.for working cereals or dried vegetables,41,Capital goods (except for transport equipment)
72721,Mach.for the animal & vegetable fats & oil indust.,41,Capital goods (except for transport equipment)
72722,"Mach.used in bakery,chocolate,macaroni semilar ind",41,Capital goods (except for transport equipment)
72811,"Mach.tools for working stone,ceramics asbestos etc",41,Capital goods (except for transport equipment)
72812,"Mach.tools for working wood,cork,bone,plastics etc",41,Capital goods (except for transport equipment)
72831,"Mach.for sorting,screening,separating,washing ores",41,Capital goods (except for transport equipment)
72832,"Mach.for crushing or grinding earth,stone,ores",41,Capital goods (except for transport equipment)
72833,"Mach.for mixing or kneading earth,stone,ores",41,Capital goods (except for transport equipment)
72834,"Mach.for agglomerating,moulding etc.solid fuels",41,Capital goods (except for transport equipment)
72841,Glass working machines and parts,41,Capital goods (except for transport equipment)
72842,Mach. for the rubber & artifical plastic mat.ind.,41,Capital goods (except for transport equipment)
72843,Mach.& appliances for tobacco industry,41,Capital goods (except for transport equipment)
72844,Mach.& appliances for treating wood,41,Capital goods (except for transport equipment)
72845,Mach.& appliances for treating metals or carbides,41,Capital goods (except for transport equipment)
72848,Other mach.having individual functions,41,Capital goods (except for transport equipment)
73611,Mach.tools for working metals by electronic proces,41,Capital goods (except for transport equipment)
