HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
480251,"Other paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10 % by weight of the total fibre content consists of such fibres :-- Weighing less than 40 g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480252,"Other paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10 % by weight of the total fibre content consists of such fibres :-- Weighing 40 g/m2 or more but not more",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480253,"Other paper and paperboard, not containing fibres obtained by a mechanical process or of which not more than 10 % by weight of the total fibre content consists of such fibres :-- Weighing more than 150 g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480260,"Other paper and paperboard, of which more than 10 % by weight of the total fibre content consists of fibres obtained by a mechanical process",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480300,"Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or saniary purposes, cellulose wadding and webs of cellulose fibres, whether or not creped, crinkled, embossed, perforated, surface-co",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480411,Kraftliner :-- Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480419,Kraftliner :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480421,Sack kraft paper :-- Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480429,Sack kraft paper :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480431,Other kraft paper and paperboard weighing 150 g/m2 or less :-- Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480439,Other kraft paper and paperboard weighing 150 g/m2 or less :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480441,Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2 :-- Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480442,Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2 :-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480449,Other kraft paper and paperboard weighing more than 150 g/m2 but less than 225 g/m2 :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480451,Other kraft paper and paperboard weighing 225 g/m2 or more :-- Unbleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480452,Other kraft paper and paperboard weighing 225 g/m2 or more :-- Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood obtained by a chemical process,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480459,Other kraft paper and paperboard weighing 225 g/m2 or more :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480510,Semi-chemical fluting paper (corrugating medium),0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480521,Multi-ply paper and paperboard :-- Each layer bleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480522,Multi-ply paper and paperboard :-- With only one outer layer bleached,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480523,"Multi-ply paper and paperboard :-- Having three or more layers, of which only the two outer layers are bleached",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480529,Multi-ply paper and paperboard :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480530,Sulphite wrapping paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480540,Filter paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480550,Felt paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480560,"Other paper and paperboard, weighing 150 g/m2 or less",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
