HS 1988/92 Product Code,HS 1988/92 Product Description,BEC Product Code,BEC Product Description
262011,Hard zinc spelter,21,Primary
262019,Ash and residues containing mainly zinc (excl.,21,Primary
262020,Ash and residues containing mainly lead,21,Primary
262030,Ash and residues containing mainly copper,21,Primary
262040,Ash and residues containing mainly aluminium,21,Primary
262050,Ash and residues containing mainly vanadium,21,Primary
262090,Ash and residues containing other metals or met,21,Primary
262100,"Other slag and ash, including seaweed ash (kelp",21,Primary
271410,Bituminous or oil shale and tar sands,21,Primary
271490,Bitumen and asphalt; natural asphaltites and as,21,Primary
310100,Animal or vegetable fertilizers,21,Primary
310250,Sodium nitrate,21,Primary
310410,"Carnallite, sylvite and other Crude natural pot",21,Primary
400110,"Natural rubber latex, in primary forms or in pl",21,Primary
400121,Smoked sheets of natural rubber,21,Primary
400122,"Technically specified natural rubber, in primar",21,Primary
400129,"Other natural rubber, in primary forms or in pl",21,Primary
400130,"Balata, gutta-percha... and similar gums, in pr",21,Primary
400300,"Reclaimed rubber in primary forms or in plates,",21,Primary
400400,"Waste, parings and scrap of rubber (excl. hard",21,Primary
410110,"Whole hides and skins of bovine animals, =<8kg",21,Primary
410121,"Whole hides and skins of bovine animals, nes, f",21,Primary
410122,"Butts and bends of bovine animal hide, fresh or",21,Primary
410129,"Hides and skins of bovine animals, fresh or wet",21,Primary
410130,Hides and skins of bovine animals preserved but,21,Primary
410140,"Hides and skins of equine animal (fresh, or sal",21,Primary
410210,"Raw skins of sheep or lambs, with wool on",21,Primary
410221,"Pickled skins of sheep or lambs, without wool,",21,Primary
410229,"Skins of sheep or lambs, without wool, not pick",21,Primary
410310,"Hides and skins of goats or kids, fresh or pres",21,Primary
410320,"Hides and skins of reptiles, fresh or preserved",21,Primary
410390,"Other hides and skins, fresh or preserved, not",21,Primary
411000,Waste... of leather or of composition leather;,21,Primary
430110,"Raw furskins of mink, whole",21,Primary
430120,"Raw furskins of rabbit or hare, whole",21,Primary
430130,"Raw furskins of specified types of lamb, whole",21,Primary
430140,"Raw furskins of beaver, whole",21,Primary
430150,"Raw furskins of muskrat, whole",21,Primary
430160,"Raw furskins of fox, whole",21,Primary
430170,"Raw furskins of seal, whole",21,Primary
430180,"Raw furskins, nes",21,Primary
430190,"Heads, tails, paws and other pieces of raw furs",21,Primary
440121,Coniferous wood in chips or particles,21,Primary
440122,Non-coniferous wood in chips or particles,21,Primary
440130,"Sawdust, wood waste and scrap (incl. agglomerat",21,Primary
440310,"Wood in the rough..., treated with paint, stain",21,Primary
440320,Untreated coniferous wood in the rough...,21,Primary
440331,"Dark Red Meranti, Light Red Meranti and Meranti",21,Primary
440332,"White Lauan, White Meranti, White Seraya, Yello",21,Primary
440333,"Keruing, Ramin, Kapur, Teak, Jongkong, Merbau,",21,Primary
440334,"Okoume, Obeche, Sapeli, Sipo, Acajou d'Afrique,",21,Primary
440335,"Tiama, Mansonia, Ilomba, Dibetou, Limba and Azo",21,Primary
440391,"Oak (Quercus spp.) wood in the rough, (excl. tr",21,Primary
440392,"Beech (Fagus spp.) wood in the rough, (excl. tr",21,Primary
440399,"Wood, nes in the rough..., (excl. treated)",21,Primary
440410,"Coniferous hoopwood; split poles, etc; wooden s",21,Primary
440420,"Non-coniferous hoopwood; split poles, etc; wood",21,Primary
441111,"Fibreboard of a density >0.8g/cm3, not worked o",21,Primary
441119,"Fibreboard of a density >0.8g/cm3, nes",21,Primary
441121,Fibreboard of a density >0.5g/cm3 but =<0.8g/cm,21,Primary
441129,Fibreboard of a density >0.5g/cm3 but =<0.8g/cm,21,Primary
441131,Fibreboard of a density >0.35g/cm3 but =<0.5g/c,21,Primary
441139,Fibreboard of a density >0.35g/cm3 but =<0.5g/c,21,Primary
441191,"Fibreboard of a density =<0.35g/cm3, not worked",21,Primary
441199,"Fibreboard of a density =<0.35g/cm3, nes",21,Primary
450110,"Natural cork, raw or simply prepared",21,Primary
450190,"Waste cork; crushed, granulated or ground cork",21,Primary
450200,"Natural cork, debacked or roughly squared..., e",21,Primary
470710,"Waste and scrap of unbleached kraft paper, pape",21,Primary
470720,Waste and scrap of other paper or paperboard of,21,Primary
470730,Waste and scrap of paper or paperboard made mai,21,Primary
470790,"Waste and scrap of paper or paperboard, nes",21,Primary
500100,Silk-worm cocoons suitable for reeling,21,Primary
500310,"Silk waste, not carded or combed",21,Primary
500390,"Silk waste, carded or combed",21,Primary
510111,"Greasy shorn wool, not carded or combed",21,Primary
510119,"Greasy wool (excl. shorn), not carded or combed",21,Primary
510121,"Degreased shorn wool, not carbonised, not carde",21,Primary
510129,"Degreased wool (excl. shorn), not carbonised, n",21,Primary
510130,"Carbonised wool, not carded or combed",21,Primary
510210,"Fine animal hair, not carded or combed",21,Primary
510220,"Coarse animal hair, not carded or combed",21,Primary
510310,"Noils of wool or of fine animal hair, not garne",21,Primary
510320,"Other waste of wool or of fine animal hair, not",21,Primary
510330,Waste of coarse animal hair,21,Primary
510400,Garnetted stock of wool or of fine or coarse an,21,Primary
520100,"Cotton, not carded or combed",21,Primary
520210,Yarn waste of cotton,21,Primary
520291,Garnetted stock of cotton,21,Primary
520299,"Cotton waste, nes",21,Primary
530110,"Flax, raw or retted",21,Primary
530130,Flax tow and waste (incl. yarn waste and garnet,21,Primary
530210,"True hemp, raw or retted",21,Primary
530290,"True hemp (excl. raw), not spun; tow and waste",21,Primary
530310,"Jute, etc (excl. flax, true hemp and ramie), ra",21,Primary
530390,"Jute, etc (excl. flax, true hemp and ramie), ne",21,Primary
530410,Sisal and other textile fibres of the genus Aga,21,Primary
530490,"Sisal, etc (excl. raw), not spun; tow and waste",21,Primary
530511,Raw coconut fibres,21,Primary
530519,"Processed coconut fibres; tow, noils and waste",21,Primary
530521,Raw albaca fibres,21,Primary
530529,"Processed abaca fibres; tow, noils and waste of",21,Primary
530591,"Raw ramie and other vegetable textile fibres, n",21,Primary
530599,"Processed ramie, etc, nes; tow, noils and waste",21,Primary
550510,"Waste of synthetic fibre, (incl. noils, yarn wa",21,Primary
550520,"Waste of artificial fibre, (incl. noils, yarn w",21,Primary
630900,Worn clothing and other worn articles,21,Primary
631010,"Used or new rags, worn out scrap twine, cordage",21,Primary
631090,"Used or new rags, worn out scrap twine, cordage",21,Primary
710110,Pearls natural whether or not worked or graded,21,Primary
710121,Pearls cultured unworked,21,Primary
710122,Pearls cultured worked,21,Primary
710210,Diamonds unsorted whether or not worked,21,Primary
710221,"Diamonds industrial unworked or simply sawn, cl",21,Primary
710229,Diamonds industrial nes excluding mounted or se,21,Primary
710231,Diamonds non-industrial unworked or simply sawn,21,Primary
710310,Prec or semi-prec stones (o/t diamonds) unwkd o,21,Primary
710510,Diamond dust or powder,21,Primary
710590,Natural or synthetic precious or semi-precious,21,Primary
711210,"Waste&scrap of gold,incl mtl clad w gold,excl s",21,Primary
711220,"Waste&scrap of platinum,incl mtl clad w plat ex",21,Primary
711290,Waste&scrap of precious metal or of metal clad,21,Primary
720410,"Waste and scrap, cast iron",21,Primary
720421,"Waste and scrap, stainless steel",21,Primary
720429,"Waste and scrap, of alloy steel, other than sta",21,Primary
720430,"Waste and scrap, of tinned iron or steel",21,Primary
720441,"Ferrous waste and scrap,i or s,from the mechani",21,Primary
720449,"Ferrous waste and scrap, iron or steel, nes",21,Primary
720450,"Remelting scrap ingots, of iron or steel",21,Primary
740400,"Waste and scrap, copper or copper alloy",21,Primary
750300,"Waste and scrap, nickel",21,Primary
760200,"Waste and scrap, aluminium",21,Primary
780200,Lead waste and scrap,21,Primary
790200,Zinc waste and scrap,21,Primary
800200,Tin waste and scrap,21,Primary
810420,Magnesium waste and scrap,21,Primary
890800,Vessels and other floating structures for break,21,Primary
110811,Wheat starch,22,Processed
110812,Maize (corn) starch,22,Processed
110813,Potato starch,22,Processed
110814,Manioc (cassava) starch,22,Processed
110819,"Other starches, nes",22,Processed
110820,Inulin,22,Processed
130231,Agar-agar,22,Processed
130232,"Mucilages and thickeners of locust beans, bean",22,Processed
130239,"Mucilages and thickeners, derived from vegetabl",22,Processed
150100,"Lard, other pig fat and poultry fat, rendered",22,Processed
150200,"Fats of bovine animals, sheep or goats, raw or",22,Processed
150300,"Lard stearin, lardoil, oleostearin, oleo-oil an",22,Processed
150410,Fish-liver oils and their fractions,22,Processed
150510,Crude wool grease,22,Processed
150590,Fatty substances of crude wool grease (incl. la,22,Processed
150600,Other animal fats and oils and their fractions,22,Processed
151110,Crude palm oil,22,Processed
151211,Crude sunflower-seed and safflower oil and frac,22,Processed
151219,Sunflower-seed and safflower oil (excl. crude),22,Processed
151311,Crude coconut (copra) oil and fractions thereof,22,Processed
151321,Crude palm kernel or babassu oil and fractions,22,Processed
151410,"Crude rape, colza or mustard oil and fractions",22,Processed
