HS - Combined  Product Code,HS - Combined  Product Description,CCCN Product Code,CCCN Product Description
520532,Measuring per single yarn less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520533,Measuring per single yarn less than 232.56 decitex but not less than 192.31 decitex (exceeding 43 metric number but not exceeding 52 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520534,Measuring per single yarn less than 192.31 decitex but not less than  125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520535,Measuring per single yarn less than 125 decitex (exceeding 80 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520541,Measuring per single yarn 714.29 decitex or more (not exceeding 14 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520542,Measuring per single yarn less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520543,Measuring per single yarn less than 232.56 decitex but not less than 192.31 decitex (exceeding 43 metric number but not exceeding 52 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520544,Measuring per single yarn less than 192.31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520545,"(-1995) Combed cabled cotton yarn, with >=85% cott",5505C,Cotton yarn -- over 40 but under 80km/kg
520546,(1996-) Measuring per single yarn less than 125 decitex but not less than 106.38 decitex (exceeding 80 metric number but not exceeding 94 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520547,(1996-) Measuring per single yarn less than 106.38 decitex but not less than 83.33 decitex (exceeding 94 metric number but not exceeding 120 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520548,(1996-) Measuring per single yarn less than 83.33 decitex (exceeding 120 metric number per single yarn),5505C,Cotton yarn -- over 40 but under 80km/kg
520611,Measuring 714.29 decitex or more (not exceeding 14 metric number),5505D,Cotton yarn -- 80 km/kg or more
520612,Measuring less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not  exceeding 43 metric number),5505D,Cotton yarn -- 80 km/kg or more
520613,Measuring less than 232.56 decitex but not less than 192.31 decitex (exceeding 43 metric number but not exceeding 52 metric number),5505D,Cotton yarn -- 80 km/kg or more
520614,Measuring less than 192.31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number),5505D,Cotton yarn -- 80 km/kg or more
520615,Measuring less than 125 decitex (exceeding 80 metric number),5505D,Cotton yarn -- 80 km/kg or more
520621,Measuring 714.29 decitex or more (not exceeding 14 metric number),5505D,Cotton yarn -- 80 km/kg or more
520622,Measuring less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number),5505D,Cotton yarn -- 80 km/kg or more
520623,Measuring less than 232.56 decitex but not less than 192.31 decitex (exceeding 43 metric number but not exceeding 52 metric number),5505D,Cotton yarn -- 80 km/kg or more
520624,Measuring less than 192.31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number),5505D,Cotton yarn -- 80 km/kg or more
520625,Measuring less than 125 decitex (exceeding 80 metric number),5505D,Cotton yarn -- 80 km/kg or more
520631,Measuring per single yarn 714.29 decitex or more (not exceeding 14 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520632,Measuring per single yarn less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520633,Measuring per single yarn less than 232.56 decitex but not less than 192.31 decitex (exceeding 43 metric number but not exceeding 52 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520634,Measuring per single yarn less than 192.31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520635,Measuring per single yarn less than 125 decitex (exceeding 80 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520641,Measuring per single yarn 714.29 decitex or more (not exceeding 14 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520642,Measuring per single yarn less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520643,Measuring per single yarn less than 232.56 decitex but not less than 192.31 decitex (exceeding 43 metric number but not exceeding 52 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520644,Measuring per single yarn less than 192.31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520645,Measuring per single yarn less than 125 decitex  (exceeding 80 metric number per single yarn),5505D,Cotton yarn -- 80 km/kg or more
520710,Containing 85 % or more by weight of cotton,5505A,Cotton yarn -- 14 km/kg or less
520790,Other,5505B,Cotton yarn -- between 14 and 40 km/kg
520811,"Plain weave, weighing not more than 100 g/m2",5509A,Grey woven cotton nes
520812,"Plain weave, weighing more than 100 g/m2",5509A,Grey woven cotton nes
520813,"3thread or 4thread twill, including cross twill",5509A,Grey woven cotton nes
520819,Other fabrics,5509A,Grey woven cotton nes
520821,"Plain weave, weighing not more than 100 g/m2",5509B,Bleached cotton fabric nes
520822,"Plain weave, weighing more than 100 g/m2",5509B,Bleached cotton fabric nes
520823,"3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520829,Other fabrics,5509B,Bleached cotton fabric nes
520831,"Plain weave, weighing not more than 100 g/m2",5509B,Bleached cotton fabric nes
520832,"Plain weave, weighing more than 100 g/m2",5509B,Bleached cotton fabric nes
520833,"3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520839,Other fabrics,5509B,Bleached cotton fabric nes
520841,"Plain weave, weighing not more than 100 g/m2",5509B,Bleached cotton fabric nes
520842,"Plain weave, weighing more than 100 g/m2",5509B,Bleached cotton fabric nes
520843,"3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520849,Other fabrics,5509B,Bleached cotton fabric nes
520851,"Plain weave, weighing not more than 100 g/m2",5509B,Bleached cotton fabric nes
520852,"Plain weave, weighing more than 100 g/m2",5509B,Bleached cotton fabric nes
520853,"(-2006) 3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520859,Other fabrics,5509B,Bleached cotton fabric nes
520911,Plain weave,5509A,Grey woven cotton nes
520912,"3thread or 4thread twill, including cross twill",5509A,Grey woven cotton nes
520919,Other fabrics,5509A,Grey woven cotton nes
520921,Plain weave,5509B,Bleached cotton fabric nes
520922,"3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520929,Other fabrics,5509B,Bleached cotton fabric nes
520931,Plain weave,5509B,Bleached cotton fabric nes
520932,"3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520939,Other fabrics,5509B,Bleached cotton fabric nes
520941,Plain weave,5509B,Bleached cotton fabric nes
520942,Denim,5509B,Bleached cotton fabric nes
520943,"Other fabrics of 3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520949,Other fabrics,5509B,Bleached cotton fabric nes
520951,Plain weave,5509B,Bleached cotton fabric nes
520952,"3thread or 4thread twill, including cross twill",5509B,Bleached cotton fabric nes
520959,Other fabrics,5509B,Bleached cotton fabric nes
521011,Plain weave,5509C,Grey woven cotton blend nes
521012,"(-2006) 3thread or 4thread twill, including cross twill",5509C,Grey woven cotton blend nes
521019,Other fabrics,5509C,Grey woven cotton blend nes
521021,Plain weave,5509D,Bleached cotton blend fabrics nes
521022,"(-2006) 3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521029,Other fabrics,5509D,Bleached cotton blend fabrics nes
521031,Plain weave,5509D,Bleached cotton blend fabrics nes
521032,"3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521039,Other fabrics,5509D,Bleached cotton blend fabrics nes
521041,Plain weave,5509D,Bleached cotton blend fabrics nes
521042,"(-2006) 3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521049,Other fabrics,5509D,Bleached cotton blend fabrics nes
521051,Plain weave,5509D,Bleached cotton blend fabrics nes
521052,"(-2006) 3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521059,Other fabrics,5509D,Bleached cotton blend fabrics nes
521111,Plain weave,5509C,Grey woven cotton blend nes
521112,"3thread or 4thread twill, including cross twill",5509C,Grey woven cotton blend nes
521119,Other fabrics,5509C,Grey woven cotton blend nes
521121,(-2006) Plain weave,5509D,Bleached cotton blend fabrics nes
521122,"(-2006) 3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521129,(-2006) Other fabrics,5509D,Bleached cotton blend fabrics nes
521131,Plain weave,5509D,Bleached cotton blend fabrics nes
521132,"3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521139,Other fabrics,5509D,Bleached cotton blend fabrics nes
521141,Plain weave,5509D,Bleached cotton blend fabrics nes
521142,Denim,5509D,Bleached cotton blend fabrics nes
521143,"Other fabrics of 3thread or 4thread twill, including  cross twill",5509D,Bleached cotton blend fabrics nes
521149,Other fabrics,5509D,Bleached cotton blend fabrics nes
521151,Plain weave,5509D,Bleached cotton blend fabrics nes
521152,"3thread or 4thread twill, including cross twill",5509D,Bleached cotton blend fabrics nes
521159,Other fabrics,5509D,Bleached cotton blend fabrics nes
521211,Unbleached,5509C,Grey woven cotton blend nes
521212,Bleached,5509D,Bleached cotton blend fabrics nes
521213,Dyed,5509D,Bleached cotton blend fabrics nes
521214,Of yarns of different colours,5509D,Bleached cotton blend fabrics nes
521215,Printed,5509D,Bleached cotton blend fabrics nes
521221,Unbleached,5509C,Grey woven cotton blend nes
521222,Bleached,5509D,Bleached cotton blend fabrics nes
521223,Dyed,5509D,Bleached cotton blend fabrics nes
521224,Of yarns of different colours,5509D,Bleached cotton blend fabrics nes
521225,Printed,5509D,Bleached cotton blend fabrics nes
530110,"Flax, raw or retted",5401A,"Flax,raw or retted"
530121,Broken or scutched,5401B,"Flax,broken,scutched etc"
530129,Other,5401B,"Flax,broken,scutched etc"
530130,Flax tow and waste,5401C,"Flax tow,waste,etc"
530210,"True hemp, raw or retted",5701,"True hemp,tow,waste,etc"
530290,Other,5701,"True hemp,tow,waste,etc"
530310,"Jute and other textile bast fibres, raw or retted",5703,"Jute, & other textile bast fibres n.e.s."
530390,Other,5703,"Jute, & other textile bast fibres n.e.s."
530410,"(-2006) Sisal and other textile fibres of the genus Agave, raw",5704A,"Sisal,agave fibres,waste"
530490,(-2006) Other,5704A,"Sisal,agave fibres,waste"
530511,(-2006) Raw,5704B,"Coir fibre,waste,etc"
530519,(-2006) Other,5704B,"Coir fibre,waste,etc"
530521,(-2006) Raw,5702,"Manila hemp raw, tow and waste"
530529,(-2006) Other,5702,"Manila hemp raw, tow and waste"
530590,(2002-2006) Other,5704C,"Other vegetable text fibre,waste"
530591,(-2001) Other :-- Raw,5704C,"Other vegetable text fibre,waste"
530599,(-2001) Other,5704C,"Other vegetable text fibre,waste"
530610,Single,5403,"Flax or ramie yarn, not for retail sale"
530620,Multiple (folded) or cabled,5403,"Flax or ramie yarn, not for retail sale"
530710,Single,5403,"Flax or ramie yarn, not for retail sale"
530720,Multiple (folded) or cabled,5403,"Flax or ramie yarn, not for retail sale"
530810,Coir yarn,5707,Yarn of other vegetable textile fibres
530820,True hemp yarn,5707,Yarn of other vegetable textile fibres
530830,(-2001) Paper yarn,5707,Yarn of other vegetable textile fibres
530890,Other,5707,Yarn of other vegetable textile fibres
530911,Unbleached or bleached,5405,Woven fabrics of flax or of ramie
530919,Other,5405,Woven fabrics of flax or of ramie
530921,Unbleached or bleached,5405,Woven fabrics of flax or of ramie
530929,Other,5405,Woven fabrics of flax or of ramie
531010,Unbleached,5710,Weaves of jute and other bast fibres of cccn 5703
531090,Other,5710,Weaves of jute and other bast fibres of cccn 5703
531100,Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn.,5711,Woven fabrics of other textile fibres
540110,Of synthetic filaments,5101A,"Synthetic fibre yarn,bulk,monofil --textured,continuous polyamide"
540120,Of artificial filaments,5101H,Continuous viscose rayon yarn
540210,(-2006) High tenacity yarn of nylon or other polyamides,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540220,High tenacity yarn of polyesters,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540231,"Of nylon or other polyamides, measuring per single yarn not more than 50 tex",5101A,"Synthetic fibre yarn,bulk,monofil --textured,continuous polyamide"
540232,"Of nylon or other polyamides, measuring per single yarn more than 50 tex",5101A,"Synthetic fibre yarn,bulk,monofil --textured,continuous polyamide"
540233,Of polyesters,5101D,"Synthetic fibre yarn,bulk,monofil --textured,continuous polyester"
540239,Other,5101G,"Synthetic fibre yarn,bulk,monofil --of other continuous yarn fibre"
540241,(-2006) Of nylon or other polyamides,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540242,"(-2006) Of polyesters, partially oriented",5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540243,"(-2006) Of polyesters, other",5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540249,Other,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540251,Of nylon or other polyamides,5101C,"Synthetic fibre yarn,bulk,monofil --other non-textured continuous polyamid"
540252,Of polyesters,5101C,"Synthetic fibre yarn,bulk,monofil --other non-textured continuous polyamid"
540259,Other,5101C,"Synthetic fibre yarn,bulk,monofil --other non-textured continuous polyamid"
540261,Of nylon or other polyamides,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540262,Of polyesters,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540269,Other,5101B,"Synthetic fibre yarn,bulk,monofil --non-textured etc continuous polyamide"
540310,High tenacity yarn of viscose rayon,5101J,Oth continuous regenerated fibre yarn
540320,(-2006) Textured yarn,5101H,Continuous viscose rayon yarn
540331,"Of viscose rayon, untwisted or with a twist not exceeding 120 turns per metre",5101H,Continuous viscose rayon yarn
540332,"Of viscose rayon, with a twist exceeding 120 turns per metre",5101H,Continuous viscose rayon yarn
540333,Of cellulose acetate,5101H,Continuous viscose rayon yarn
540339,Other,5101H,Continuous viscose rayon yarn
540341,Of viscose rayon,5101H,Continuous viscose rayon yarn
540342,Of cellulose acetate,5101H,Continuous viscose rayon yarn
540349,Other,5101H,Continuous viscose rayon yarn
540410,(-2006) Monofilament,5102A,Synthetic fibre monofil etc
540490,Other,5102A,Synthetic fibre monofil etc
540500,"Artificial monofilament of 67 decitex or more and of which no crosssectional dimension exceeds 1 mm; strip and the  like (for example, artificial straw) of artificial textile materials of an apparent width not exceeding 5 mm.",5102B,Regen fibre monofil etc
540610,(-2006) Synthetic filament yarn,5103A,Yarn of 6514 for retail -- of continuous fibres
540620,(-2006) Artificial filament yarn,5101H,Continuous viscose rayon yarn
540710,Woven fabrics obtained from high tenacity yarn of nylon or other polyamides or of polyesters,5104B,Continuous synthetic textaile fabric nes
540720,Woven fabrics obtained from strip or the like,5104B,Continuous synthetic textaile fabric nes
540730,Fabrics specified in Note 9 to Section XI,5104B,Continuous synthetic textaile fabric nes
540741,Unbleached or bleached,5104B,Continuous synthetic textaile fabric nes
540742,Dyed,5104B,Continuous synthetic textaile fabric nes
540743,Of yarns of different colours,5104B,Continuous synthetic textaile fabric nes
540744,Printed,5104B,Continuous synthetic textaile fabric nes
540751,Unbleached or bleached,5104B,Continuous synthetic textaile fabric nes
540752,Dyed,5104B,Continuous synthetic textaile fabric nes
540753,Of yarns of different colours,5104B,Continuous synthetic textaile fabric nes
540754,Printed,5104B,Continuous synthetic textaile fabric nes
540760,"(-1995) Other woven fabrics of synthetic yarn, >=8",5104B,Continuous synthetic textaile fabric nes
540761,(1996-) Containing 85 % or more by weight of nontextured polyester filaments,5104B,Continuous synthetic textaile fabric nes
540769,(1996-) Other,5104B,Continuous synthetic textaile fabric nes
540771,Unbleached or bleached,5104B,Continuous synthetic textaile fabric nes
540772,Dyed,5104B,Continuous synthetic textaile fabric nes
540773,Of yarns of different colours,5104B,Continuous synthetic textaile fabric nes
540774,Printed,5104B,Continuous synthetic textaile fabric nes
540781,Unbleached or bleached,5104A,Continuous synthetic tyre cord fabric
540782,Dyed,5104A,Continuous synthetic tyre cord fabric
540783,Of yarns of different colours,5104A,Continuous synthetic tyre cord fabric
540784,Printed,5104A,Continuous synthetic tyre cord fabric
540791,Unbleached or bleached,5104A,Continuous synthetic tyre cord fabric
540792,Dyed,5104A,Continuous synthetic tyre cord fabric
540793,Of yarns of different colours,5104A,Continuous synthetic tyre cord fabric
540794,Printed,5104A,Continuous synthetic tyre cord fabric
540810,Woven fabrics obtained from high tenacity yarn of viscose rayon,5104E,Continuous regnerated textaile fabric nes
540821,Unbleached or bleached,5104E,Continuous regnerated textaile fabric nes
540822,Dyed,5104E,Continuous regnerated textaile fabric nes
540823,Of yarns of different colours,5104E,Continuous regnerated textaile fabric nes
540824,Printed,5104E,Continuous regnerated textaile fabric nes
540831,Unbleached or bleached,5104F,Continuous regenerated blend fabric nes
540832,Dyed,5104F,Continuous regenerated blend fabric nes
540833,Of yarns of different colours,5104F,Continuous regenerated blend fabric nes
540834,Printed,5104F,Continuous regenerated blend fabric nes
550110,Of nylon or other polyamides,5602A,"Continuous filamnt tow, synthetic -- of polyamide fibres"
550120,Of polyesters,5602B,"Continuous filamnt tow, synthetic -- of polyester fibres"
550130,Acrylic or modacrylic,5602C,"Continuous filamnt tow, synthetic -- of acrylic fibres"
550190,Other,5602D,"Continuous filamnt tow, synthetic -- of oth synthetictc fibres"
550200,Artificial filament tow.,5602E,"Continuous filamnt tow, regenerated"
550310,(-2006) Of nylon or other polyamides,5601A,Discontinuous synthetic fibre uncombed -- polyamide
550320,Of polyesters,5601B,Discontinuous synthetic fibre uncombed -- polyester
550330,Acrylic or modacrylic,5601C,Discontinuous synthetic fibre uncombed -- acrylic
550340,Of polypropylene,5601D,Discontinuous synthetic fibre uncombed -- other
550390,Other,5601D,Discontinuous synthetic fibre uncombed -- other
550410,Of viscose rayon,5601E,Discontinuous regenerated fibre uncombed
550490,Other,5601E,Discontinuous regenerated fibre uncombed
550510,Of synthetic fibres,5603A,Waste of man-made fibres -- syntheticetic
550520,Of artificial fibres,5603B,Waste of man-made fibres -- regenerated
550610,Of nylon or other polyamides,5604A,Discontinuous synthetic fibre combed -- polyamide
550620,Of polyesters,5604B,Discontinuous synthetic fibre combed -- polyester
550630,Acrylic or modacrylic,5604C,Discontinuous synthetic fibre combed -- acrylic
550690,Other,5604D,Discontinuous synthetic fibre combed -- other
550700,"Artificial staple fibres, carded, combed or otherwise processed for spinning.",5604E,Discontinuous regenerated fibre combed
550810,Of synthetic staple fibres,5605A,"Synthetic fibres,yarn,bulk,monofil -- of discontinuous synthetic fibres"
550820,Of artificial staple fibres,5605E,Discontinuous regenerated fibre yarn
550911,Single yarn,5605D,Other discontinuous synthetic blend yarn
550912,Multiple (folded) or cabled yarn,5605D,Other discontinuous synthetic blend yarn
550921,Single yarn,5605D,Other discontinuous synthetic blend yarn
550922,Multiple (folded) or cabled yarn,5605D,Other discontinuous synthetic blend yarn
550931,Single yarn,5605D,Other discontinuous synthetic blend yarn
550932,Multiple (folded) or cabled yarn,5605D,Other discontinuous synthetic blend yarn
550941,Single yarn,5605D,Other discontinuous synthetic blend yarn
550942,Multiple (folded) or cabled yarn,5605D,Other discontinuous synthetic blend yarn
550951,Mixed mainly or solely with artificial staple fibres,5605B,Discontinuous synthetic fibres/cotton yarn
550952,Mixed mainly or solely with wool or fine animal hair,5605B,Discontinuous synthetic fibres/cotton yarn
550953,Mixed mainly or solely with cotton,5605B,Discontinuous synthetic fibres/cotton yarn
550959,Other,5605B,Discontinuous synthetic fibres/cotton yarn
550961,Mixed mainly or solely with wool or fine animal hair,5605B,Discontinuous synthetic fibres/cotton yarn
550962,Mixed mainly or solely with cotton,5605B,Discontinuous synthetic fibres/cotton yarn
550969,Other,5605B,Discontinuous synthetic fibres/cotton yarn
550991,Mixed mainly or solely with wool or fine animal hair,5605B,Discontinuous synthetic fibres/cotton yarn
550992,Mixed mainly or solely with cotton,5605B,Discontinuous synthetic fibres/cotton yarn
550999,Other,5605B,Discontinuous synthetic fibres/cotton yarn
551011,Single yarn,5605E,Discontinuous regenerated fibre yarn
551012,Multiple (folded) or cabled yarn,5605E,Discontinuous regenerated fibre yarn
551020,"Other yarn, mixed mainly or solely with wool or fine animal hair",5605F,Discontinuous regenerated fibres with cottn yarn
551030,"Other yarn, mixed mainly or solely with cotton",5605F,Discontinuous regenerated fibres with cottn yarn
551090,Other yarn,5605F,Discontinuous regenerated fibres with cottn yarn
551110,"Of synthetic staple fibres, containing 85 % or more by weight of such fibres",5606A,Yarn of sitc 6514 for retail -- of discontinuous fibres
551120,"Of synthetic staple fibres, containing less than 85 % by weight of such fibres",5606B,Yarn of sitc 6516 for retail -- of discontinuous fibres
551130,Of artificial staple fibres,5605E,Discontinuous regenerated fibre yarn
551211,Unbleached or bleached,5607A,Discontinuous synthetic textile fabrics nes
551219,Other,5607A,Discontinuous synthetic textile fabrics nes
551221,Unbleached or bleached,5607A,Discontinuous synthetic textile fabrics nes
551229,Other,5607A,Discontinuous synthetic textile fabrics nes
551291,Unbleached or bleached,5607A,Discontinuous synthetic textile fabrics nes
551299,Other,5607A,Discontinuous synthetic textile fabrics nes
551311,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551312,"3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551313,Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551319,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551321,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551322,"(-2006) 3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551323,Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551329,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551331,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551332,"(-2006) 3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551333,(-2006) Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551339,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551341,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551342,"(-2006) 3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551343,(-2006) Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551349,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551411,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551412,"3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551413,(-2006) Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551419,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551421,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551422,"3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551423,Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551429,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551431,"(-2006) Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551432,"(-2006) 3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551433,(-2006) Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551439,(-2006) Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551441,"Of polyester staple fibres, plain weave",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551442,"3thread or 4thread twill, including cross twill, of polyester staple fibres",5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551443,Other woven fabrics of polyester staple fibres,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551449,Other woven fabrics,5607B,Discontinuous synthetic blend fabrics nes -- with cotton fibres
551511,Mixed mainly or solely with viscose rayon staple fibres,5607E,Discontinuous synthetic blend fabrics nes -- with textile fibres nes
551512,Mixed mainly or solely with manmade filaments,5607D,Discontinuous synthetic blend fabrics nes -- with cont man-made fibre
551513,Mixed mainly or solely with wool or fine animal hair,5607C,"Discontinuous synthetic blend fabrics nes -- with wool,fine hair"
551519,Other,5607E,Discontinuous synthetic blend fabrics nes -- with textile fibres nes
551521,Mixed mainly or solely with manmade filaments,5607D,Discontinuous synthetic blend fabrics nes -- with cont man-made fibre
551522,Mixed mainly or solely with wool or fine animal hair,5607C,"Discontinuous synthetic blend fabrics nes -- with wool,fine hair"
551529,Other,5607E,Discontinuous synthetic blend fabrics nes -- with textile fibres nes
551591,Mixed mainly or solely with manmade filaments,5607D,Discontinuous synthetic blend fabrics nes -- with cont man-made fibre
551592,(-2006) Mixed mainly or solely with wool or fine animal hair,5607C,"Discontinuous synthetic blend fabrics nes -- with wool,fine hair"
551599,Other,5607E,Discontinuous synthetic blend fabrics nes -- with textile fibres nes
551611,Unbleached or bleached,5607F,Discontinuous regenerated textile fabrics nes
551612,Dyed,5607F,Discontinuous regenerated textile fabrics nes
551613,Of yarns of different colours,5607F,Discontinuous regenerated textile fabrics nes
551614,Printed,5607F,Discontinuous regenerated textile fabrics nes
551621,Unbleached or bleached,5607I,Discontinuous regenerated blend fabrics nes -- with cont man-made fibre
551622,Dyed,5607I,Discontinuous regenerated blend fabrics nes -- with cont man-made fibre
551623,Of yarns of different colours,5607I,Discontinuous regenerated blend fabrics nes -- with cont man-made fibre
551624,Printed,5607I,Discontinuous regenerated blend fabrics nes -- with cont man-made fibre
551631,Unbleached or bleached,5607H,"Discontinuous regenerated blend fabrics nes -- with wool,fine hair"
551632,Dyed,5607H,"Discontinuous regenerated blend fabrics nes -- with wool,fine hair"
551633,Of yarns of different colours,5607H,"Discontinuous regenerated blend fabrics nes -- with wool,fine hair"
551634,Printed,5607H,"Discontinuous regenerated blend fabrics nes -- with wool,fine hair"
551641,Unbleached or bleached,5607G,Discontinuous regenerated blend fabrics nes -- with cotton fibres
551642,Dyed,5607G,Discontinuous regenerated blend fabrics nes -- with cotton fibres
551643,Of yarns of different colours,5607G,Discontinuous regenerated blend fabrics nes -- with cotton fibres
551644,Printed,5607G,Discontinuous regenerated blend fabrics nes -- with cotton fibres
551691,Unbleached or bleached,5607J,Discontinuous regenerated blend fabrics nes -- with textile fibres nes
551692,Dyed,5607J,Discontinuous regenerated blend fabrics nes -- with textile fibres nes
551693,Of yarns of different colours,5607J,Discontinuous regenerated blend fabrics nes -- with textile fibres nes
