HS - Combined  Product Code,HS - Combined  Product Description,CCCN Product Code,CCCN Product Description
060291,(-1995) Mushroom spawn,0602,Other live plants
060299,"(-1995) Other live plants, nes",0602,Other live plants
060310,(-2006) Fresh,0603,Cut flowers
060390,Other,0603,Cut flowers
060410,Mosses and lichens,0604,Cut foliage
060491,Fresh,0604,Cut foliage
060499,Other,0604,Cut foliage
070110,Seed,0701A,Potatoes fresh excluding sweet
070190,Other,0701A,Potatoes fresh excluding sweet
070200,"Tomatoes, fresh or chilled.",0701B,Tomatoes fresh
070310,Onions and shallots,0701C,"Alliaceous vegtables,fresh"
070320,Garlic,0701C,"Alliaceous vegtables,fresh"
070390,Leeks and other alliaceous vegetables,0701C,"Alliaceous vegtables,fresh"
070410,Cauliflowers and headed broccoli,0701D,Fresh vegetables nes
070420,Brussels sprouts,0701D,Fresh vegetables nes
070490,Other,0701D,Fresh vegetables nes
070511,Cabbage lettuce (head lettuce),0701D,Fresh vegetables nes
070519,Other,0701D,Fresh vegetables nes
070521,Witloof chicory (Cichorium intybus var. foliosum),0701D,Fresh vegetables nes
070529,Other,0701D,Fresh vegetables nes
070610,Carrots and turnips,0701D,Fresh vegetables nes
070690,Other,0701D,Fresh vegetables nes
070700,"Cucumbers and gherkins, fresh or chilled.",0701D,Fresh vegetables nes
070810,Peas (Pisum sativum),0701D,Fresh vegetables nes
070820,"Beans (Vigna spp., Phaseolus spp.)",0701D,Fresh vegetables nes
070890,Other leguminous vegetables,0701D,Fresh vegetables nes
070910,(-2006) Globe artichokes,0701D,Fresh vegetables nes
070920,Asparagus,0701D,Fresh vegetables nes
070930,Aubergines (eggplants),0701D,Fresh vegetables nes
070940,Celery other than celeriac,0701D,Fresh vegetables nes
070951,Mushrooms of the genus Agaricus,0701D,Fresh vegetables nes
070952,(-2006) Truffles,0701D,Fresh vegetables nes
070959,(2002-) Other,0701D,Fresh vegetables nes
070960,Fruits of the genus Capsicum or of the genus Pimenta,0701D,Fresh vegetables nes
070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0701D,Fresh vegetables nes
070990,Other,0701D,Fresh vegetables nes
071010,Potatoes,0702,Vegetables preserved by freezing
071021,Peas (Pisum sativum),0702,Vegetables preserved by freezing
071022,"Beans (Vigna spp., Phaseolus spp.)",0702,Vegetables preserved by freezing
071029,Other,0702,Vegetables preserved by freezing
071030,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0702,Vegetables preserved by freezing
071040,Sweet corn,2107,Miscellaneous food preprtions nes
071080,Other vegetables,0702,Vegetables preserved by freezing
071090,Mixtures of vegetables,0702,Vegetables preserved by freezing
071110,(-2001) Onions,0703,Vegetables provisionally preserved
071120,Olives,0703,Vegetables provisionally preserved
071130,(-2006) Capers,0703,Vegetables provisionally preserved
071140,Cucumbers and gherkins,0703,Vegetables provisionally preserved
071151,(2002-) Mushrooms of the genus Agaricus,0703,Vegetables provisionally preserved
071159,(2002-) Other,0703,Vegetables provisionally preserved
071190,Other vegetables; mixtures of vegetables,0703,Vegetables provisionally preserved
071210,(-1995) Dried potatoes,0704,Dehydrated or evaporated vegetables
071220,Onions,0704,Dehydrated or evaporated vegetables
071230,(-2001) Mushrooms and truffles,0704,Dehydrated or evaporated vegetables
071231,(2002-) Mushrooms of the genus Agaricus,0704,Dehydrated or evaporated vegetables
071232,(2002-) Wood ears (Auricularia spp.),0704,Dehydrated or evaporated vegetables
071233,(2002-) Jelly fungi (Tremella spp.),0704,Dehydrated or evaporated vegetables
071239,(2002-) Other,0704,Dehydrated or evaporated vegetables
071290,Other vegetables; mixtures of vegetables,0704,Dehydrated or evaporated vegetables
071310,Peas (Pisum sativum),0705,Leguminous vegetbles dry
071320,Chickpeas (garbanzos),0705,Leguminous vegetbles dry
071331,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek,0705,Leguminous vegetbles dry
071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),0705,Leguminous vegetbles dry
071333,"Kidney beans, including white pea beans (Phaseolus vulgaris)",0705,Leguminous vegetbles dry
071339,Other,0705,Leguminous vegetbles dry
071340,Lentils,0705,Leguminous vegetbles dry
071350,"Broad beans (Vicia faba var. major) and horse beans (Vicia faba var. equina, Vicia faba var. minor)",0705,Leguminous vegetbles dry
071390,Other,0705,Leguminous vegetbles dry
071410,Manioc (cassava),0706,"Roots,tubers fresh,dry"
071420,Sweet potatoes,0706,"Roots,tubers fresh,dry"
071490,Other,0706,"Roots,tubers fresh,dry"
080110,"(-1995) Coconuts, fresh or dried",0801B,Coconuts fresh or dried
080111,(1996-) Desiccated,0801B,Coconuts fresh or dried
080119,(1996-) Other,0801B,Coconuts fresh or dried
080120,"(-1995) Brazil nuts, fresh or dried",0801C,"Brazil nuts,fresh,dried"
080121,(1996-) In shell,0801C,"Brazil nuts,fresh,dried"
080122,(1996-) Shelled,0801C,"Brazil nuts,fresh,dried"
080130,"(-1995) Cashew nuts, fresh or dried",0801D,"Cashew nuts,fresh,dried"
080131,(1996-) In shell,0801D,"Cashew nuts,fresh,dried"
080132,(1996-) Shelled,0801D,"Cashew nuts,fresh,dried"
080211,In shell,0805A,"Almonds,fresh or dried"
080212,Shelled,0805A,"Almonds,fresh or dried"
080221,In shell,0805B,"Hazelnuts,fresh or dried"
080222,Shelled,0805B,"Hazelnuts,fresh or dried"
080231,In shell,0805C,"Nuts edible,frsh,dry,nes"
080232,Shelled,0805C,"Nuts edible,frsh,dry,nes"
080240,Chestnuts (Castanea spp.),0805C,"Nuts edible,frsh,dry,nes"
080250,Pistachios,0805C,"Nuts edible,frsh,dry,nes"
080290,Other,0805C,"Nuts edible,frsh,dry,nes"
080300,"Bananas, including plantains, fresh or dried.",0801A,"Banana,plantain,frsh,dry"
080410,Dates,0801G,"Dates,fresh or dried"
