HS 1988/92 Product Code,HS 1988/92 Product Description,CPC Product Code,CPC Product Description
520832,"Dyed plain cotton weave, with >=85% cotton, >10",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520833,"Dyed 3 or 4-thread twill (incl. cross twill), w",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520839,"Dyed woven cotton fabrics, with >=85% cotton, n",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520841,"Coloured plain cotton weave, with >=85% cotton,",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520842,"Coloured plain cotton weave, with >=85% cotton,",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520843,Coloured 3 or 4-thread twill (incl. cross twill,2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520849,"Coloured woven cotton fabrics, with >=85% cotto",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520851,"Printed plain cotton weave, with >=85% cotton,",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520852,"Printed plain cotton weave, with >=85% cotton,",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520853,Printed 3 or 4-thread twill (incl. cross twill),2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520859,"Printed woven cotton fabrics, with >=85% cotton",2661,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520911,"Unbleached plain cotton weave, with >=85% cotto",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520912,Unbleached 3 or 4-thread twill (incl. cross twi,2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520919,"Unbleached cotton fabrics, with >=85% cotton, >",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520921,"Bleached plain cotton weave, with >=85% cotton,",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520922,"Bleached 3 or 4-thread twill, >=85% cotton, >20",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520929,"Bleached woven cotton fabrics, with >=85% cotto",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520931,"Dyed plain cotton weave, with >=85% cotton, >20",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520932,"Dyed 3 or 4-thread twill (incl. cross twill), w",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520939,"Dyed woven cotton fabrics, with >=85% cotton, >",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520941,"Coloured plain cotton weave, with >=85% cotton,",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520942,"Denim, with >=85% cotton, >200g/m2",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520943,"Coloured 3 or 4-thread twill, with >=85% cotton",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520949,"Coloured woven cotton fabrics, with >=85% cotto",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520951,"Printed plain cotton weave, with >=85% cotton,",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520952,"Printed 3 or 4-thread twill, with >=85% cotton,",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
520959,"Printed woven cotton fabrics, with >=85% cotton",2662,"Woven fabrics of cotton, containing 85% or more by weight of cotton,"
521011,"Unbleached plain cotton weave, with <85% cotton",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521012,"Unbleached 3 or 4-thread twill, with <85% cotto",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521019,"Unbleached woven cotton fabrics, nes, with <85%",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521021,"Bleached plain cotton weave, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521022,"Bleached 3 or 4-thread twill, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521029,"Bleached woven cotton fabrics, nes, with <85% c",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521031,"Dyed plain cotton weave, with <85% cotton, =<20",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521032,"Dyed 3 or 4-thread twill, with <85% cotton, =<2",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521039,"Dyed woven cotton fabrics, nes, with <85% cotto",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521041,"Coloured plain cotton weave, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521042,"Coloured 3 or 4-thread twill, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521049,"Coloured woven cotton fabrics, nes, with <85% c",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521051,"Printed plain cotton weave, with <85% cotton, =",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521052,"Printed 3 or 4-thread twill, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521059,"Printed woven cotton fabrics, nes, with <85% co",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521111,"Unbleached plain cotton weave, with <85% cotton",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521112,"Unbleached 3 or 4-thread twill, with <85% cotto",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521119,"Unbleached woven cotton fabrics, nes, with <85%",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521121,"Bleached plain cotton weave, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521122,"Bleached 3 or 4-thread twill, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521129,"Bleached woven cotton fibres, nes, with <85% co",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521131,"Dyed plain cotton weave, with <85% cotton, >200",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521132,"Dyed 3 or 4-thread twill, with <85% cotton, >20",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521139,"Dyed woven cotton fabrics, nes, with <85% cotto",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521141,"Coloured plain cotton weave, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521142,"Coloured denim, with <85% cotton, >200g/m2",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521143,"Coloured fabrics of 3 or 4-thread twill, with <",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521149,"Coloured woven cotton fabrics, nes, with <85% c",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521151,"Printed plain cotton weave, with <85% cotton, >",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521152,"Printed 3 or 4-thread twill, with <85% cotton,",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521159,"Printed woven cotton fabrics, nes, with <85% co",2663,"Woven fabrics of cotton, containing less than 85% by weight of cotton,"
521211,"Unbleached woven fabrics of cotton, =<200g/m2,",2669,Other woven fabrics of cotton
521212,"Bleached woven fabrics of cotton, =<200g/m2, ne",2669,Other woven fabrics of cotton
521213,"Dyed woven fabrics of cotton, =<200g/m2, nes",2669,Other woven fabrics of cotton
521214,"Coloured woven fabrics of cotton, =<200g/m2, ne",2669,Other woven fabrics of cotton
521215,"Printed woven fabrics of cotton, =<200g/m2, nes",2669,Other woven fabrics of cotton
521221,"Unbleached woven fabrics of cotton, >200g/m2, n",2669,Other woven fabrics of cotton
521222,"Bleached woven fabrics of cotton, >200g/m2, nes",2669,Other woven fabrics of cotton
521223,"Dyed woven fabrics of cotton, >200g/m2, nes",2669,Other woven fabrics of cotton
521224,"Coloured woven fabrics of cotton, >200g/m2, nes",2669,Other woven fabrics of cotton
521225,"Printed woven fabrics of cotton, >200g/m2, nes",2669,Other woven fabrics of cotton
530110,"Flax, raw or retted",01923,"Flax and true hemp, raw or retted; sizal and other textile fibres of the"
530121,"Flax, broken or scutched, but not spun",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530129,"Flax, hackled or otherwise processed, but not s",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530130,Flax tow and waste (incl. yarn waste and garnet,2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530210,"True hemp, raw or retted",01923,"Flax and true hemp, raw or retted; sizal and other textile fibres of the"
530290,"True hemp (excl. raw), not spun; tow and waste",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530310,"Jute, etc (excl. flax, true hemp and ramie), ra",01922,"Jute and other textile bast fibres, raw or retted, except flax, true"
530390,"Jute, etc (excl. flax, true hemp and ramie), ne",2617,"Jute and other textile bast fibres (except flax, true hemp and ramie),"
530410,Sisal and other textile fibres of the genus Aga,01923,"Flax and true hemp, raw or retted; sizal and other textile fibres of the"
530490,"Sisal, etc (excl. raw), not spun; tow and waste",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530511,Raw coconut fibres,01923,"Flax and true hemp, raw or retted; sizal and other textile fibres of the"
530519,"Processed coconut fibres; tow, noils and waste",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530521,Raw albaca fibres,01923,"Flax and true hemp, raw or retted; sizal and other textile fibres of the"
530529,"Processed abaca fibres; tow, noils and waste of",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530591,"Raw ramie and other vegetable textile fibres, n",01923,"Flax and true hemp, raw or retted; sizal and other textile fibres of the"
530599,"Processed ramie, etc, nes; tow, noils and waste",2619,"Other vegetable textile fibres, processed but not spun; tow and waste of these fibres"
530610,Single flax yarn put up for retail sale,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530620,Multiple or cabled flax yarn put up for retail,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530710,Single yarn of jute or of other textile bast fi,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530720,Multiple or cabled yarn of jute or of other tex,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530810,Coir yarn,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530820,True hemp yarn,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530830,Paper yarn,2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530890,"Yarn of vegetable textile fibres, nes",2638,"Yarn of vegetable textile fibres other than cotton (including flax, jute,"
530911,"Bleached or unbleached, woven fabrics of flax,",2656,Woven fabrics of flax
530919,"Woven fabrics of flax, with >=85% flax, printed",2656,Woven fabrics of flax
530921,"Bleached or unbleached, woven fabrics of flax,",2656,Woven fabrics of flax
530929,"Woven fabrics of flax, with <85% flax, printed,",2656,Woven fabrics of flax
531010,Unbleached woven fabrics of jute or of other te,2657,"Woven fabrics of jute and other textile bast fibres (except flax, true hemp and ramie)"
531090,Woven fabrics of jute or other textile bast fib,2657,"Woven fabrics of jute and other textile bast fibres (except flax, true hemp and ramie)"
531100,Woven fabrics of other vegetable textile fibres,2659,Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn
540110,Sewing thread of synthetic filaments,2641,Sewing thread of man-made filaments or staple fibres
540120,Sewing thread of artificial filaments,2641,Sewing thread of man-made filaments or staple fibres
540210,High tenacity yarn of nylon or other polyamides,3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540220,"High tenacity yarn of polyesters, nprs",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540231,"Textured yarn, of nylon or other polyamides, =<",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540232,"Textured yarn, of nylon or other polyamides, >5",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540233,"Textured yarn of polyesters, nprs",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540239,"Textured yarn, nes, nprs",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540241,"Single yarn of nylon or other polyamides, with",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540242,"Single yarn of partially oriented polyesters, w",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540243,"Single yarn of polyesters, nes, with =<50turns/",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540249,"Single synthetic yarn, nes, with =<50turns/m, n",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540251,"Single yarn of nylon or other polyamides, with",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540252,"Single yarn of polyesters, with >50turns/m, npr",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540259,"Single synthetic yarn, nes, with >50turns/m, np",3552,"Synthetic filament yarn (except sewing thread and multiple or cabled yarn),"
540261,Multiple or cabled yarn of nylon or other polya,2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540262,"Multiple or cabled yarn of polyesters, nprs",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540269,"Multiple or cabled yarn, nes, nprs",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540310,"High tenacity yarn of viscose rayon, nprs",3555,Artificial filament yarn (except sewing thread and multiple or cabled
540320,"Artificial textured yarn, nprs",3555,Artificial filament yarn (except sewing thread and multiple or cabled
540331,"Single yarn of viscose rayon, with =<120turns/m",3555,Artificial filament yarn (except sewing thread and multiple or cabled
540332,"Single yarn of viscose rayon, with >120turns/m,",3555,Artificial filament yarn (except sewing thread and multiple or cabled
540333,"Single yarn of cellulose acetate, nprs",3555,Artificial filament yarn (except sewing thread and multiple or cabled
540339,"Single artificial yarn, nes, nprs",3555,Artificial filament yarn (except sewing thread and multiple or cabled
540341,"Multiple or cabled yarn of viscose rayon, nprs",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540342,"Multiple or cabled yarn of cellulose acetate, n",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540349,"Multiple or cabled artificial yarn, nes, nprs",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540410,Synthetic monofilament of >=67decitex,3553,Synthetic monofilament and strip
540490,Strip and the like of synthetic textile materia,3553,Synthetic monofilament and strip
540500,Monofilament; strip and the like of artificial,3556,Artificial monofilament and strip
540610,"Synthetic filament yarn (excl. sewing thread),",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540620,"Artificial filament yarn (excl. sewing thread),",2642,"Yarn of man-made filaments, multiple or cabled (other than sewing thread,"
540710,Woven fabrics of high tenacity yarn of nylon...,2671,"Woven fabrics of man-made filament yarn, obtained from high tenacity"
540720,Woven fabrics obtained from synthetic strip or,2671,"Woven fabrics of man-made filament yarn, obtained from high tenacity"
540730,Fabrics of synthetic filament yarn specified in,2671,"Woven fabrics of man-made filament yarn, obtained from high tenacity"
540741,"Unbleached or bleached woven fabrics, >=85% nyl",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540742,"Dyed woven fabrics of synthetic filament yarn,",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540743,Coloured woven fabrics of synthetic filament ya,2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540744,Printed woven fabrics of synthetic filament yar,2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540751,"Unbleached or bleached woven fabrics, >=85% tex",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540752,"Dyed woven fabrics of synthetic filament yarn,",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540753,"Coloured woven fabrics of synthetic yarn, >=85%",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540754,"Printed woven fabrics of synthetic yarn, >=85%",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540760,"Other woven fabrics of synthetic yarn, >=85% no",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540771,"Unbleached or bleached woven fabrics, >=85% syn",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540772,"Dyed woven fabrics, >=85% synthetic filaments,",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540773,"Coloured woven fabrics, >=85% synthetic filamen",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540774,"Printed woven fabrics, >=85% synthetic filament",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540781,"Unbleached or bleached woven fabrics, <85% synt",2673,Other woven fabrics of man-made filament yarn
540782,"Dyed woven fabrics, <85% synthetic filaments, m",2673,Other woven fabrics of man-made filament yarn
540783,"Coloured woven fabrics, <85% synthetic filament",2673,Other woven fabrics of man-made filament yarn
540784,"Printed woven fabrics, <85% synthetic filaments",2673,Other woven fabrics of man-made filament yarn
540791,Unbleached or bleached woven fabrics of synthet,2673,Other woven fabrics of man-made filament yarn
540792,"Dyed woven fabrics of synthetic filament yarn,",2673,Other woven fabrics of man-made filament yarn
540793,Coloured woven fabrics of synthetic filament ya,2673,Other woven fabrics of man-made filament yarn
540794,Printed woven fabrics of synthetic filament yar,2673,Other woven fabrics of man-made filament yarn
540810,Woven fabrics of high tenacity synthetic filame,2671,"Woven fabrics of man-made filament yarn, obtained from high tenacity"
540821,"Unbleached or bleached woven fabrics, >=85% art",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540822,"Dyed woven fabrics, >=85% artificial filaments",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540823,"Coloured woven fabrics, >=85% artificial filame",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540824,"Printed woven fabrics, >=85% artificial filamen",2672,"Other woven fabrics of man-made filament yarn, containing 85% or more"
540831,Unbleached or bleached woven fabrics of artific,2673,Other woven fabrics of man-made filament yarn
540832,"Dyed woven fabrics of artificial filament yarn,",2673,Other woven fabrics of man-made filament yarn
540833,Coloured woven fabrics of artificial filament y,2673,Other woven fabrics of man-made filament yarn
540834,Printed woven fabrics of artificial filament ya,2673,Other woven fabrics of man-made filament yarn
550110,Synthetic filament tow of nylon or other polyam,3551,"Synthetic filament tow and staple fibres, not carded or combed"
550120,Synthetic filament tow of polyesters,3551,"Synthetic filament tow and staple fibres, not carded or combed"
550130,"Synthetic filament tow, acrylic or modacrylic",3551,"Synthetic filament tow and staple fibres, not carded or combed"
550190,"Synthetic filament tow, nes",3551,"Synthetic filament tow and staple fibres, not carded or combed"
550200,Artificial filament tow,3554,"Artificial filament tow and staple fibres, not carded or combed"
550310,"Synthetic staple fibres, of nylon or other poly",3551,"Synthetic filament tow and staple fibres, not carded or combed"
550320,"Synthetic staple fibres, of polyesters, not car",3551,"Synthetic filament tow and staple fibres, not carded or combed"
550330,"Acrylic or modacrylic synthetic staple fibres,",3551,"Synthetic filament tow and staple fibres, not carded or combed"
