HS 1988/92 Product Code,HS 1988/92 Product Description,CPC Product Code,CPC Product Description
010111,Live pure bred breeding horses,02113,"Horses, asses, mules and hinnies, live"
010119,"Live horses, other than for pure-bred breeding",02113,"Horses, asses, mules and hinnies, live"
010120,Live asses mules and hinnies,02113,"Horses, asses, mules and hinnies, live"
010210,Live pure-bred breeding bovine animals,02111,"Bovine cattle, live"
010290,"Live bovine animals, other than pure-bred breed",02111,"Bovine cattle, live"
010310,Live pure-bred breeding swine,02121,"Swine, live"
010391,Live swine weighing <50kg (excl. pure-bred bree,02121,"Swine, live"
010392,Live swine weighing >=50kg (excl. pure-bred bre,02121,"Swine, live"
010410,Live sheep,02112,"Sheep and goats, live"
010420,Live goats,02112,"Sheep and goats, live"
010511,"Live fowls of species Gallus domesticus, weighi",02122,"Poultry, live"
010519,"Live ducks, geese, turkeys and guinea fowls, we",02122,"Poultry, live"
010591,Live fowls of species Gallus domesticus (chicke,02122,"Poultry, live"
010599,"Live ducks, geese, turkeys and guinea fowls, we",02122,"Poultry, live"
010600,"Other live animals, nes",02129,Other live animals
020110,Fresh or chilled bovine carcasses and half carc,21111,"Meat of bovine animals, fresh or chilled"
020120,Fresh or chilled unboned bovine meat (excl. car,21111,"Meat of bovine animals, fresh or chilled"
020130,Fresh or chilled boneless bovine meat,21111,"Meat of bovine animals, fresh or chilled"
020210,Frozen bovine carcasses and half carcasses,21112,"Meat of bovine animals, frozen"
020220,Frozen unboned bovine meat (excl. carcasses),21112,"Meat of bovine animals, frozen"
020230,Frozen boneless bovine meat,21112,"Meat of bovine animals, frozen"
020311,Fresh or chilled swine carcasses and half carca,21113,"Meat of swine, fresh or chilled"
020312,"Fresh or chilled unboned hams, shoulders and cu",21113,"Meat of swine, fresh or chilled"
020319,"Fresh or chilled swine meat, nes (unboned)",21113,"Meat of swine, fresh or chilled"
020321,Frozen swine carcasses and half carcasses,21114,"Meat of swine, frozen"
020322,"Frozen unboned hams, shoulders and cuts thereof",21114,"Meat of swine, frozen"
020329,"Frozen swine meat, nes",21114,"Meat of swine, frozen"
020410,Fresh or chilled lamb carcasses and half carcas,21115,"Meat of sheep, fresh or chilled"
020421,Fresh or chilled sheep carcasses and half carca,21115,"Meat of sheep, fresh or chilled"
020422,Fresh or chilled unboned meat of sheep,21115,"Meat of sheep, fresh or chilled"
020423,Fresh or chilled boneless meat of sheep,21115,"Meat of sheep, fresh or chilled"
020430,Frozen lamb carcasses and half carcasses,21116,"Meat of sheep, frozen"
020441,Frozen sheep carcasses and half carcasses (excl,21116,"Meat of sheep, frozen"
020442,Frozen unboned meat of sheep,21116,"Meat of sheep, frozen"
020443,Frozen boned meat of sheep,21116,"Meat of sheep, frozen"
020450,"Fresh, chilled or frozen goat meat",21117,"Meat of goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh,",21118,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,Fresh or chilled edible bovine offal,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020621,Frozen bovine tongues,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020622,Frozen bovine livers,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020629,Frozen edible bovine offal (excl. tongues and l,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020630,Fresh or chilled edible swine offal,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020641,Frozen swine livers,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020649,Frozen edible swine offal (excl. livers),21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020680,"Fresh or chilled edible offal of sheep, goats,",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020690,"Frozen edible offal of sheep, goats, horses...",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020710,Fresh or chilled whole poultry,21121,"Meat and edible offal of poultry, fresh or chilled"
020721,Frozen whole chickens,21122,"Meat and edible offal of poultry, frozen"
020722,Frozen whole turkeys,21122,"Meat and edible offal of poultry, frozen"
020723,"Frozen whole ducks, geese and guinea fowls",21122,"Meat and edible offal of poultry, frozen"
020731,Fresh or chilled fatty livers of geese or ducks,21121,"Meat and edible offal of poultry, fresh or chilled"
020739,Fresh or chilled poultry cuts and offal (excl.,21121,"Meat and edible offal of poultry, fresh or chilled"
020741,Frozen cuts and offal of chicken (excl. livers),21122,"Meat and edible offal of poultry, frozen"
020742,Frozen cuts and offal of turkey (excl. livers),21122,"Meat and edible offal of poultry, frozen"
020743,"Frozen cuts and offal of geese, ducks and guine",21122,"Meat and edible offal of poultry, frozen"
020750,Frozen poultry livers,21122,"Meat and edible offal of poultry, frozen"
020810,"Fresh, chilled or frozen meat and edible offal",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020820,"Fresh, chilled or frozen frogs' legs",0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
020890,"Fresh, chilled or frozen meat and edible offal,",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",21611,"Fats of bovine animals, sheep, goats, pigs and poultry, raw or rendered"
021011,"Unboned swine hams, shoulders and cuts thereof,",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021012,"Bellies and cuts thereof of swine, salted... or",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021019,"Meat of swine, salted... or smoked, nes",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021020,"Meat of bovine animals, salted... or smoked",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
021090,"Other meat, nes, salted... or smoked; flours an",21131,"Meat and edible meat offal, salted, in brine, dried or smoked; edible flours"
030110,Live ornamental fish,0411,"Fish, live"
030191,Live trout,0411,"Fish, live"
030192,Live eels,0411,"Fish, live"
030193,Live carp,0411,"Fish, live"
030199,Other live fish,0411,"Fish, live"
030211,Fresh or chilled trout,0412,"Fish, fresh or chilled"
030212,"Fresh or chilled Pacific, Atlantic and Danube s",0412,"Fish, fresh or chilled"
030219,Fresh or chilled salmonidae (excl. 0302.11 and,0412,"Fish, fresh or chilled"
030221,Fresh or chilled halibut,0412,"Fish, fresh or chilled"
030222,Fresh or chilled plaice,0412,"Fish, fresh or chilled"
030223,Fresh or chilled sole,0412,"Fish, fresh or chilled"
030229,"Fresh or chilled flat fish (excl. halibut, plai",0412,"Fish, fresh or chilled"
030231,Fresh or chilled albacore or longfinned tunas,0412,"Fish, fresh or chilled"
030232,Fresh or chilled yellowfin tunas,0412,"Fish, fresh or chilled"
030233,Fresh or chilled skipjack or stripe-bellied bon,0412,"Fish, fresh or chilled"
030239,"Fresh or chilled tunas, nes",0412,"Fish, fresh or chilled"
030240,Fresh or chilled herrings (excl. livers and roe,0412,"Fish, fresh or chilled"
030250,Fresh or chilled cod (excl. livers and roes),0412,"Fish, fresh or chilled"
030261,"Fresh or chilled sardines, brisling or sparts",0412,"Fish, fresh or chilled"
030262,Fresh or chilled haddock,0412,"Fish, fresh or chilled"
030263,Fresh or chilled coalfish,0412,"Fish, fresh or chilled"
030264,Fresh or chilled mackerel,0412,"Fish, fresh or chilled"
030265,Fresh or chilled dogfish and other sharks,0412,"Fish, fresh or chilled"
030266,Fresh or chilled eels,0412,"Fish, fresh or chilled"
030269,"Fresh or chilled fish, nes",0412,"Fish, fresh or chilled"
030270,Fresh or chilled fish livers and roes,2121,"Fish fillets, other fish meat and fish livers and roes, fresh or chilled"
030310,Frozen Pacific salmon,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030321,Frozen trout,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030322,Frozen Atlantic and Danube salmon,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030331,Frozen halibut,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030332,Frozen plaice,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030333,Frozen sole,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030339,"Frozen flat fish (excl. halibut, plaice and sol",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030341,Frozen albacore or longfinned tunas,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030342,Frozen yellowfin tunas,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030343,Frozen skipjack or stripe-bellied bonito,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030349,"Frozen tunas, nes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030350,Frozen herrings (excl. livers and roes),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030360,Frozen cod (excl. livers and roes),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030371,"Frozen sardines, brisling or sprats",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030372,Frozen haddock,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030373,Frozen coalfish,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030374,Frozen mackerel,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030375,Frozen dogfish and sharks,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030376,Frozen eels,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030377,Frozen sea-bass,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030378,Frozen hake,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030379,"Frozen fish, nes",2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030380,Frozen fish livers and roes,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030410,Fresh or chilled fish fillets,2121,"Fish fillets, other fish meat and fish livers and roes, fresh or chilled"
030420,Frozen fish fillets,2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030490,Frozen fish meat (excl. fillets),2122,"Fish, fish fillets, other fish meat and fish livers and roes, frozen"
030510,"Flours, meals and pellets of fish, fit for huma",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030520,"Livers and roes, dried, smoked, salted or in br",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030530,"Fish fillets, dried, salted or in brine, but no",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030541,"Smoked Pacific, Atlantic and Danube salmon (inc",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030542,Smoked herrings (incl. fillets),2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030549,Smoked fish (excl. salmon and herrings),2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030551,"Dried cod, not smoked",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030559,"Dried fish, not smoked (excl. cod)",2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030561,Herrings salted or in brine but not dried or sm,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030562,Cod salted or in brine but not dried or smoked,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030563,Anchovies salted or in brine but not dried or s,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030569,Other fish salted or in brine but not dried or,2123,"Fish, dried, salted or in brine; smoked fish; edible fish meal"
030611,Frozen rock lobster and other sea crawfish,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030612,Frozen lobsters,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030613,Frozen shrimps and prawns,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030614,Frozen crabs,2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030619,"Frozen crustaceans,nes,including flours,meals &",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030621,Rock lobster and other sea crawfish (excl. froz,0421,"Crustaceans, not frozen"
030622,Lobsters (excl.frozen),0421,"Crustaceans, not frozen"
030623,Shrimps and prawns (excl. frozen),0421,"Crustaceans, not frozen"
030624,Crabs (excl.frozen),0421,"Crustaceans, not frozen"
030629,"Crustaceans not frozen,nes,includ.flours,meals,",0421,"Crustaceans, not frozen"
030710,Oysters,0422,Oysters
030721,"Scallops, live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030729,"Scallops (excl. live, fresh or chilled)",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030731,"Mussels, live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030739,"Mussels (excl. live, fresh or chilled)",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030741,"Cuttle fish and squid, live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030749,"Cuttle fish and squid (excl. live, fresh or chi",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030751,"Octopus live, fresh or chilled",0423,"Other aquatic invertebrates, live, fresh or chilled"
030759,"Octopus (excl. live, fresh or chilled)",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
030760,Snails other than sea snails,0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
030791,"Aquatic invertebrates, nes, live, fresh or chil",0423,"Other aquatic invertebrates, live, fresh or chilled"
030799,"Aquatic invertebrates,nes,includ.flours,meals,p",2125,"Crustaceans, frozen; molluscs and other aquatic invertebrates, frozen,"
040110,"Milk and cream of =<1% fat, not concentrated or",2211,Processed liquid milk
040120,"Milk and cream of >1% but =<6% fat, not concent",2211,Processed liquid milk
040130,"Milk and cream of >6% fat, not concentrated or",2212,Cream
040210,Milk and cream in solid forms of =<1.5% fat,2291,Milk and cream in solid forms
040221,"Milk and cream in solid forms of >1.5% fat, uns",2291,Milk and cream in solid forms
040229,"Milk and cream in solid forms of >1.5% fat, swe",2291,Milk and cream in solid forms
040291,"Concentrated milk and cream, unsweetened (excl.",2292,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in"
040299,Sweetened milk and cream (excl. in solid form),2292,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in"
040310,Yogurt,2293,Yoghurt and other fermented or acidified milk and cream
040390,"Buttermilk, curdled milk and cream, etc (excl.",2293,Yoghurt and other fermented or acidified milk and cream
040410,"Whey & modified whey, concentrated or not, or c",2299,Dairy products n.e.c.
040490,Products consisting of natural milk constituent,2299,Dairy products n.e.c.
040500,Butter and other fats and oils derived from mil,2294,Butter and other fats and oils derived from milk
040610,"Fresh (unripened or uncured) cheese, including",2295,Cheese and curd
040620,Grated or powdered cheese,2295,Cheese and curd
040630,"Processed cheese, not grated or powdered",2295,Cheese and curd
040640,Blue-veined cheese,2295,Cheese and curd
040690,"Cheese, nes",2295,Cheese and curd
040700,"Birds' eggs, in shell, fresh, preserved or cook",0292,"Eggs, in shell, fresh, preserved or cooked"
040811,Dried egg yolks,23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040819,Egg yolks (excl. dried),23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040891,"Dried birds' eggs, not in shell",23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040899,"Birds' eggs, not in shell (excl. dried)",23993,"Eggs, not in shell, and egg yolks, fresh or preserved; egg albumin"
040900,Natural honey,0293,Natural honey
041000,"Edible products of animal origin, nes",0295,Edible products of animal origin n.e.c.
050100,"Human hair and waste, unworked",38971,"Human hair, unworked, whether or not washed or scoured; waste of human hair"
050210,"Pigs', hogs', or boars' bristles or hair",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050290,Badger and other brush making hair,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050300,Horsehair and waste,02963,"Fine or coarse animal hair (including horsehair), not carded or combed"
050400,"Guts, bladders and stomachs of animals (excl. f",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050510,Raw feathers for stuffing; down,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050590,Skins and parts of birds (excl. feathers for st,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050610,Ossein and bones treated with acid,3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050690,Bones and horn-cores (excl. ossein...),3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050710,"Ivory, its powder and waste, unworked",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050790,"Tortoise-shell, whalebone and whalebone-hair, e",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
050800,"Coral; shells of molluscs, crustaceans, unworke",0491,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
050900,Natural sponges of animal origin,0492,Natural sponges of animal origin
051000,"Ambergris, castoreum, civet and musk; cantharid",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
051110,Bovine semen,0299,Bovine semen
051191,"Products of fish, etc; dead animals of Chapter",21299,"Products n.e.c. of fish, crustaceans, molluscs or other aquatic invertebrates; dead fish,"
051199,"Animal products, nes; dead animals of Chapter 1",3911,"Raw offal, inedible (including pigs' bristles, animal guts, bird skins,"
060110,"Dormant bulbs, tubers... rhizomes",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060120,"Bulbs, tubers... rhizomes in growth or flower;",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060210,Unrooted cuttings and slips,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060220,"Trees,shrubs,bushes,grafted or not,of kinds whi",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060230,Rhododendrons and azaleas,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060240,Roses,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060291,Mushroom spawn,0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060299,"Other live plants, nes",0151,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
060310,Fresh cut flowers and buds,0152,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and"
060390,"Dried, dyed, bleached or otherwise prepared cut",0152,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and"
060410,"Moses and lichens for ornamental purposes, fres",0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
060491,"Fresh parts of plants, without flowers or buds,",0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
060499,"Parts of plants, without flowers or buds, for o",0392,"Parts of plants, without flowers or flower buds, and grasses, mosses and"
070110,Seed potatoes,0121,Potatoes
070190,"Other potatoes, fresh or chilled",0121,Potatoes
070200,"Tomatoes, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070310,"Onions and shallots, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070320,"Garlic, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070390,"Leeks and other alliaceous vegetables, nes",0123,"Other vegetables, fresh or chilled"
070410,"Cauliflowers and headed broccoli, fresh or chil",0123,"Other vegetables, fresh or chilled"
070420,"Brussels sprouts, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070490,"White and red cabbages, kohlrabi, kale...etc, f",0123,"Other vegetables, fresh or chilled"
070511,"Cabbage lettuce, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070519,"Lettuce, fresh or chilled, (excl. cabbage lettu",0123,"Other vegetables, fresh or chilled"
070521,"Witloof chicory, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070529,"Chicory, fresh or chilled, (excl. witloof)",0123,"Other vegetables, fresh or chilled"
070610,"Carrots and turnips, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070690,Beetroot...radishes and other similar edible ro,0123,"Other vegetables, fresh or chilled"
070700,"Cucumbers and gherkins, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070810,"Peas, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070820,"Beans, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070890,"Leguminous vegetables, fresh or chilled, nes",0123,"Other vegetables, fresh or chilled"
070910,"Globe artichokes, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070920,"Asparagus, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070930,"Aubergines, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070940,"Celery, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070951,"Mushrooms, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070952,"Truffles, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070960,"Fruits of genus Capiscum or Pimenta, fresh or c",0123,"Other vegetables, fresh or chilled"
070970,"Spinach, fresh or chilled",0123,"Other vegetables, fresh or chilled"
070990,"Other vegetables, fresh or chilled, nes",0123,"Other vegetables, fresh or chilled"
071010,"Potatoes, frozen",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071021,"Shelled or unshelled peas, frozen",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071022,"Shelled or unshelled beans, frozen",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071029,"Leguminous vegetables, shelled or unshelled, fr",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071030,"Spinach, frozen",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071040,"Sweet corn, frozen",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071080,"Vegetables, frozen, nes",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071090,"Mixtures of vegetables, frozen",2131,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen"
071110,"Onions provisionally preserved, not for immedia",2132,Vegetables provisionally preserved
071120,"Olives provisionally preserved, not for immedia",2132,Vegetables provisionally preserved
071130,"Capers provisionally preserved, not for immedia",2132,Vegetables provisionally preserved
071140,Cucumbers and gherkins provisionally preserved,2132,Vegetables provisionally preserved
071190,Other vegetables and  mixture of vegetables pro,2132,Vegetables provisionally preserved
071210,Dried potatoes,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071220,Dried onions,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071230,Dried mushrooms and truffles,2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071290,"Dried vegetables, nes",2139,"Other preserved vegetables (including dried vegetables, canned vegetables"
071310,"Dried peas, shelled",0122,"Dried leguminous vegetables, shelled"
071320,"Dried chickpeas, shelled",0122,"Dried leguminous vegetables, shelled"
071331,"Dried beans, shelled",0122,"Dried leguminous vegetables, shelled"
071332,"Dried adzuki beans, shelled",0122,"Dried leguminous vegetables, shelled"
071333,"Dried kidney beans, incl. white pea beans, shel",0122,"Dried leguminous vegetables, shelled"
071339,"Dried beans, shelled, nes",0122,"Dried leguminous vegetables, shelled"
071340,"Dried lentils, shelled",0122,"Dried leguminous vegetables, shelled"
071350,"Dried broad beans and horse beans, shelled",0122,"Dried leguminous vegetables, shelled"
071390,"Dried leguminous vegetables, shelled, nes",0122,"Dried leguminous vegetables, shelled"
071410,"Manioc, fresh or dried",0124,Edible roots and tubers with high starch or inulin content
071420,"Sweet potatoes, fresh or dried",0124,Edible roots and tubers with high starch or inulin content
071490,"Roots and tubers with high starch content, fres",0124,Edible roots and tubers with high starch or inulin content
080110,"Coconuts, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080120,"Brazil nuts, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080130,"Cashew nuts, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080211,"Almonds in shell, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080212,"Almonds without shells, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080221,"Hazlenuts in shell, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080222,"Hazlenuts without shells, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080231,"Walnuts in shell, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080232,"Walnuts without shells, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080240,"Chestnuts, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080250,"Pistachio, fresh or dried",0136,"Other nuts, fresh or dried, whether or not shelled"
080290,"Other nuts, fresh or dried, nes",0136,"Other nuts, fresh or dried, whether or not shelled"
080300,"Bananas, including plantains, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080410,"Dates, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080420,"Figs, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080430,"Pineapples, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080440,"Avocados, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080450,"Guavas, mangoes and mangosteens, fresh or dried",0131,"Dates, figs, bananas, coconuts, brazil nuts, cashew nuts, pineapples, avocados,"
080510,"Oranges, fresh or dried",0132,"Citrus fruit, fresh or dried"
080520,"Mandarins, clementines, wilkings...etc, fresh o",0132,"Citrus fruit, fresh or dried"
080530,"Lemons and limes, fresh or dried",0132,"Citrus fruit, fresh or dried"
080540,"Grapefruit, fresh or dried",0132,"Citrus fruit, fresh or dried"
080590,"Citrus fruit, fresh or dried, nes",0132,"Citrus fruit, fresh or dried"
080610,Fresh grapes,0133,"Grapes, fresh or dried"
080620,Dried grapes,0133,"Grapes, fresh or dried"
080710,"Melons and watermelons, fresh",0134,"Other fruit, fresh"
080720,"Papaws (papayas), fresh",0134,"Other fruit, fresh"
080810,"Apples, fresh",0134,"Other fruit, fresh"
080820,"Pears and quinces, fresh",0134,"Other fruit, fresh"
080910,"Apricots, fresh",0134,"Other fruit, fresh"
080920,"Cherries, fresh",0134,"Other fruit, fresh"
080930,"Peaches, including nectarines, fresh",0134,"Other fruit, fresh"
080940,"Plums and sloes, fresh",0134,"Other fruit, fresh"
081010,"Strawberries, fresh",0134,"Other fruit, fresh"
081020,"Raspberries, blackberries, mulberries and logan",0134,"Other fruit, fresh"
081030,"Black, white or red currants and gooseberries,",0134,"Other fruit, fresh"
081040,"Cranberries, milberries...etc, fresh",0134,"Other fruit, fresh"
081090,"Other fruit, fresh, nes",0134,"Other fruit, fresh"
081110,"Strawberries, frozen",2151,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen"
081120,"Raspberries, blackberries...etc, frozen",2151,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen"
081190,"Other fruit and nuts, frozen, nes",2151,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen"
081210,"Cherries, provisionally preserved, not for imme",2154,Fruit and nuts provisionally preserved
081220,"Strawberries, provisionally preserved, not for",2154,Fruit and nuts provisionally preserved
081290,"Fruit and nuts, provisionally preserved, not fo",2154,Fruit and nuts provisionally preserved
081310,Dried apricots,0135,"Other fruit, dried"
081320,Dried prunes,0135,"Other fruit, dried"
081330,Dried apples,0135,"Other fruit, dried"
081340,"Other dried fruit, nes",0135,"Other fruit, dried"
081350,"Mixtures of dried fruit and nuts, nes",0135,"Other fruit, dried"
081400,"Peel of citrus fruit or melons, fresh, frozen,",2155,Other preserved fruits
