HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
480442,"Kraft paper..., weighing >150g/m2 but <225g/m2,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480449,"Kraft paper..., weighing >150g/m2 but <225g/m2,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480451,"Unbleached kraft paper..., weighing >=225g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480452,"Kraft paper..., weighing >=225g/m2, bleached un",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480459,"Kraft paper..., weighing >=225g/m2, nes",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480510,Semi-chemical fluting paper (corrugated medium),0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480521,Multi-ply paper and paperboard with each layer,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480522,Multi-ply paper... with only one outer layer bl,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480523,"Multi-ply paper... two outer layers bleached, i",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480529,"Multi-ply paper and paperboard, in rolls or she",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480530,"Sulphite wrapping paper, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480540,"Filter paper and paperboard, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480550,"Felt paper and paperboard, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480560,"Paper and paperboard, in rolls or sheets, weigh",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480570,"Paper..., in rolls or sheets, weighing >150g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480580,"Paper and paperboard, in rolls or sheets, weigh",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480610,"Vegetable parchment, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480620,"Greaseproof papers, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480630,"Tracing papers, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480640,Glassine and other glazed transparent or transl,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480710,"Composite paper..., laminated with bitumen, etc",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480791,"Straw paper and paperboard, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480799,"Composite paper and paperboard, in rolls or she",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480810,"Corrugated paper and paperboard, in rolls or sh",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480820,"Sack kraft paper, creped or crinkled, in rolls",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480830,"Kraft paper, creped or crinkled, (excl. sack),",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480890,"Paper and paperboard, corrugated, creped, etc,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480910,"Carbon or similar copying papers, in rolls or s",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480920,"Self-copy paper, in rolls or sheets",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480990,"Copying or transfer papers, nes, in rolls or sh",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481011,"Paper..., coated with kaolin, etc, weighing =<1",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481012,"Paper..., coated with kaolin, etc, weighing >15",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481021,"Light-weight coated paper for writing, etc, >10",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481029,"Paper... for writing, etc, >10% mechanical fibr",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
