HS 2007 Product Code,HS 2007 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
200949,"Pineapple juice (excl. of 2009.41), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200940,"Pineapple juice, unfermented, not containing ad"
200950,"Tomato juice, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200950,"Tomato juice, unfermented, not containing added"
200961,"Grape juice, incl. grape must, of a Brix value not >30, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200960,"Grape juice, (incl. must), unfermented, not con"
200969,"Grape juice, incl. grape must (excl. of 2009.61), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200960,"Grape juice, (incl. must), unfermented, not con"
200971,"Apple juice, of a Brix value not >20, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200970,"Apple juice, unfermented, not containing added"
200979,"Apple juice (excl. of 2009.71), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200970,"Apple juice, unfermented, not containing added"
200980,"Juice of any single fruit/vegetable (excl. of 2009.11-2009.79), unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200980,"Juice of other single fruit, unfermented, not c"
200990,"Mixtures of juices, unfermented & not containing added spirit, whether/not containing added sugar/other sweetening matter",200990,"Mixtures of juices, unfermented, not containing"
210111,"Extracts, essences & concentrates of coffee",210110,"Extracts, essences, concentrates and preparatio"
210112,Preparations with a basis of extracts/essences/concentrates of coffee/with a basis of coffee,210110,"Extracts, essences, concentrates and preparatio"
210120,"Extracts, essences & concentrates of tea/matT, & preparations with a basis of these extracts/essences/concentrates/with a basis of tea/matT",210120,"Extracts, essences, concentrates and preparatio"
210130,"Roasted chicory & other roasted coffee substitutes, & extracts, essences & concentrates thereof",210130,"Roasted coffee substitutes (incl. chicory), etc"
210210,Active yeasts,210210,Active yeasts
210220,"Inactive yeasts; other single-cell micro-organisms, dead (excl. vaccines of 30.02)",210220,Inactive yeasts; other single-cell micro-organi
210230,Prepared baking powders,210230,Prepared baking powders
210310,Soya sauce,210310,Soya sauce
210320,Tomato ketchup & other tomato sauces,210320,Tomato ketchup and other tomato sauces
210330,Mustard flour & meal & prepared mustard,210330,"Mustard flour and meal, prepared mustard"
210390,"Sauces & preparations therefor, n.e.s.; mixed condiments & mixed seasonings, n.e.s.",210390,Sauces and sauce preparations; mixed condiments
210410,Soups & broths & preparations therefor,210410,Soups and broths and preparations therefor
210420,Homogenised composite food preparations,210420,Homogenized composite food preparations
210500,"Ice cream & other edible ice, whether/not containing cocoa",210500,"Ice cream and other edible ice, whether or not"
210610,Protein concentrates & textured protein substance,210610,Protein concentrates and textured protein subst
210690,"Food preparations, n.e.s.",210690,"Other food preparations, nes"
220110,"Mineral waters (natural/artificial) & aerated waters, not containing added sugar/other sweetening matter/flavoured",220110,"Mineral waters and aerated waters, unsweetened"
220190,Ice & snow,220190,Other unsweetened waters; ice and snow
220210,"Waters, incl. mineral waters & aerated waters, containing added sugar/other sweetening matter/flavoured",220210,"Waters (incl. mineral and aerated), with added"
220290,Non-alcoholic beverages other than waters of 2202.10 (not incl. fruit/vegetable juices of 20.09),220290,"Other non-alcoholic beverages, nes"
220300,Beer made from malt,220300,Beer made from malt
220410,Sparkling wine of fresh grapes,220410,Champagne and sparkling wine
220421,"Wine other than sparkling wine of fresh grapes, incl. fortified; grape must with fermentation prevented/arrested by the addition of alcohol, in containters of 2 l/less",220421,Wine (not sparkling); grape must with by alcoho
220429,"Wine other than sparkling wine of fresh grapes, incl. fortified; grape must with fermentation prevented/arrested by the addition of alcohol, in containters of >2 l",220429,Wine (not sparkling); grape must with alcohol i
220430,Grape must (excl. of 20.09),220430,"Other grape must, nes"
220510,"Vermouth & other wine of fresh grapes flavoured with plants/aromatic substance, in containters of 2 l/less",220510,"Vermouth and other wine of fresh grapes, flavou"
220590,"Vermouth & other wine of fresh grapes flavoured with plants/aromatic substance, in containters of > 2l",220590,"Vermouth and other wine of fresh grapes, flavou"
220600,"Fermented beverages (e.g., cider, perry, mead), n.e.s.; mixtures of fermented beverages & mixtures of fermented beverages & non-alcoholic beverages, n.e.s.",220600,"Other fermented beverages (for example, cider,"
220710,Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol.,220710,"Undenatured ethyl alcohol, of alcoholic strengt"
220720,"Ethyl alcohol & other spirits, denatured, of any strength",220720,Ethyl alcohol and other denatured spirits of an
220820,Spirits obt. by distilling grape wine/grape marc,220820,Spirits from distilled grape wine or marc
220830,Whiskies,220830,Whiskeys
220840,Rum & tafia,220840,Rum and tafia
220850,Gin & Geneva,220850,Gin and Geneva
220860,Vodka,220890,"Other spirituous beverages, nes"
220870,Liqueurs & cordials,220890,"Other spirituous beverages, nes"
220890,"Undenatured ethyl alcohol of an alcoholic strength by volume <80%vol; other spirits, liquers & other spiritous beverages",220890,"Other spirituous beverages, nes"
220900,Vinegar & substitutes for vinegar obt. from acetic acid,220900,Vinegar and substitutes for vinegar obtained fr
230110,"Flours, meals & pellets of meat/meat offal; greaves",230110,"Flours, meats and pellets, of meat unfit for hu"
230120,"Flours, meals & pellets of fish/of crustaceans, molluscs/other aquatic invertebrates",230120,"Flours, meals and pellets of fish, etc, unfit f"
230210,"Bran, sharps & other residues, whether/not in the form of pellets, derived from the sifting/milling/other working of maize (corn)",230210,"Brans, sharps and other residues of maize"
230230,"Bran, sharps & other residues, whether/not in the form of pellets, derived from the sifting/milling/other working of wheat",230230,"Brans, sharps and other residues of wheat"
230240,"Bran, sharps & other residues, whether/not in the form of pellets, derived from the sifting/milling/other working of cereals other than maize (corn)/wheat",230240,"Brans, sharps and other residues of other cerea"
230250,"Bran, sharps & other residues, whether/not in the form of pellets, derived from the sifting/milling/other working of leguminous plants",230250,"Brans, sharps and other residues of leguminous"
230310,"Residues of starch manufacture & similar residues, whether/not in pellets",230310,Residues from manufacture of starch and similar
230320,"Beet-pulp, bagasse & other waste of sugar manufacture, whether/not in pellets",230320,"Beet pulp, bagasse and other waste of sugar man"
230330,"Brewing/distilling dregs & waste, whether/not in pellets",230330,Brewing or distilling dregs and waste
230400,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of soyabean oil",230400,"Oil-cake and other solid residues, of soya-bean"
230500,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of ground-nut oil",230500,"Oil-cake and other solid residues, of ground-nu"
230610,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of cotton seeds",230610,Oil-cake and other solid residues of cotton see
230620,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of linseed",230620,Oil-cake and other solid residues of linseed
230630,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of sunflower seeds",230630,Oil-cake and other solid residues of sunflower
230641,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of low erucic acid rape/colza seeds",230640,Oil-cake and other solid residues of rape or co
230649,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of rape/colza seeds (excl. low erucic acid seeds)",230640,Oil-cake and other solid residues of rape or co
230650,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of coconut/copra",230650,Oil-cake and other solid residues of coconut or
230660,"Oil-cake & other solid residues, whether/not ground/in pellets, from extraction of palm nuts/kernels",230660,Oil-cake and other solid residues of palm nuts
230690,"Oil-cake & other solid residues, whether/not ground/in form of pellets, resulting from the extraction of vegetable fats/oils (excl. of 23.04, 23.05 & 2306.10-2306.60)",230690,"Oil-cake and residues, of other vegetable fats"
230700,Wine lees; argol,230700,Wine lees; argol
230800,"Vegetable materials/waste/residues/by-products, whether/not in pellets, of a kind used in animal feeding, n.e.s.",230890,"Other vegetable materials, waste, residues, etc"
230910,"Dog/cat food, put up for RS",230910,"Dog or cat food, put up for retail sale"
230990,Preparations of a kind used in animal feeding other than dog/cat food put up for RS,230990,Other preparations of a kind used in animal fee
240110,"Tobacco, not stemmed/stripped",240110,"Tobacco, not stemmed/stripped"
240120,"Tobacco, partly/wholly stemmed/stripped",240120,"Tobacco, partly or wholly stemmed/stripped"
240130,Tobacco refuse,240130,Tobacco refuse
240210,"Cigars, cheroots & cigarillos containing tobacco",240210,"Cigars, cheroots and cigarillos containing toba"
240220,Cigarettes containing tobacco,240220,Cigarettes containing tobacco
240290,"Cigars, cheroots, cigarillos & cigarettes of tobacco substitutes",240290,"Cigars, cigarillos, cigarettes, etc, not contai"
240310,"Smoking tobacco, whether/not containing tobacco substitutes in any proportion",240310,Smoking tobacco with or without tobacco substit
240391,Homogenised/reconstituted tobacco,240391,Homogenized or reconstituted tobacco
240399,"Manufactured tobacco & manufactured tobacco substitutes, n.e.s. (excl. smoking tobacco & homogenised/reconstituted tobacco); tobacco extracts & essences",240399,"Other manufactured tobacco, nes"
250100,"Salt (incl. table salt & denatured salt) & pure sodium chloride, whether/not in aqueous solution/containing added anti-caking/free-flowing agents; sea water",250100,Salt and pure sodium chloride; sea water
250200,Unroasted iron pyrites,250200,Unroasted iron pyrites
250300,Sulphur of all kinds (excl. sublimed sulphur/precipitated sulphur/colloidal sulphur),250310,Crude or unrefined sulphur
250410,"Natural graphite, in powder/flakes",250410,Natural graphite in powder or in flakes
250490,Natural graphite other than in powders/flakes,250490,Other natural graphite (excl. in powder or in f
250510,"Silica sands & quartz sands, whether/not coloured",250510,Silica sands and quartz sands
250590,"Natural sands other than silica & quartz, whether/not coloured, other than metalbearing sands of Ch.26",250590,"Natural sands, (excl. metal-bearing sands of Ch"
250610,"Quartz, other than natural sands",250610,Quartz
250620,"Quartzite, other than natural sands, whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (including square) shape.",250629,Quartzite cut into rectangular blocks or slabs
250700,"Kaolin & other kaolinic clays, whether/not calcined",250700,"Kaolin and other kaolinic clays, whether or not"
250810,Bentonite,250810,Bentonite
250830,Fire-clay,250830,Fire-clay
250840,"Clays other than expanded clays of 68.06 (excl. of 2507.00, 2508.10 & 2508.30)",250840,"Other clays, nes"
250850,"Andalusite, kyanite & sillimanite",250850,"Andalusite, kyanite and sillimanite"
250860,Mullite,250860,Mullite
250870,Chamotte/dinas earths,250870,Chamotte or dinas earths
250900,Chalk,250900,Chalk
251010,"Natural calcium phosphates, natural aluminium calcium phosphates & phosphatic chalk, unground",251010,"Unground natural calcium phosphates, aluminium"
251020,"Natural calcium phosphates, natural aluminium calcium phosphates & phosphatic chalk, ground",251020,"Ground natural calcium phosphates, aluminium ca"
251110,"Natural barium carbonate (witherite), whether/not calcined, other than barium oxide of 28.16",251110,Natural barium sulphate (barytes)
251120,"Natural barium carbonate (witherite), whether/not calcined, other than barium oxide of 28.16",251120,Natural barium carbonate (whitherite)
251200,"Siliceous fossil meals (e.g., kieselguhr, tripolite & diatomite) & similar siliceous earths, whether/not calcined, of an apparent sp.gr. of 1/less",251200,"Siliceous fossil meals (kieselguhr, tripolite,"
251310,"Pumice stone, whether/not heat-treated.",251311,"Pumice stone, crude or in irregular pieces, (in"
251320,"Emery, natural corundum, natural garnet & other natural abrasives, whether/not heat-treated",251321,"Emery... and other natural abrasives, crude or"
251400,"Slate, whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251400,"Slate, crude, roughly trimmed or merely cut"
251511,"Marble & travertine, crude/roughly trimmed",251511,Marble and travertine crude or roughly trimmed
251512,"Marble & travertine, merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251512,Marble and travertine merely cut into a square
251520,"Ecaussine & other calcareous monumental/building stone; alabaster, whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (including square) shape",251520,Ecaussine and other calcarcous building stone;
251611,"Granite, crude/roughly trimmed",251611,"Granite, crude or roughly trimmed"
251612,"Granite, merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251612,"Granite, merely cut into a square or rectangula"
251620,"Sandstone, whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251622,"Sandstone, merely cut into a square or rectangu"
251690,"Monumental/building stone (excl. of 2516.11-2516.22), whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251690,"Porphyry, sylnite, etc, merely cut into a squar"
251710,"Pebbles/gravel/broken/crushed stone, of a kind commonly used for concrete aggregates/road metalling/railway/other ballast, shingle & flint, whether/not heat-treated",251710,"Pebbles, gravel, shingle and flint"
251720,"Macadam of slag/dross/similar industrial waste, whether/not incorporating the materials cited in 2517.10",251720,"Macadam of slag, dross or similar industrial wa"
251730,"Tarred macadam, whether/not incorporating pebbles/gravel/broken/crushed stone",251730,Tarred macadam
251741,"Granules, chippings & powder, of marble, whether/not heat-treated",251741,"Marble granules, chippings and powder"
251749,"Granules, chippings & powder, of stones of 25.15/25.16 (excl. marble), whether/not heat-treated",251749,"Granules, chippings and powder of stones (excl."
251810,"Dolomite, not calcined/sintered, incl. dolomite roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251810,Dolomite not calcined
251820,"Calcined/sintered dolomite, incl. dolomite roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape",251820,Calcined dolomite
251830,Dolomite ramming mix,251830,Agglomerated dolomite (incl. tarred dolomite)
251910,Natural magnesium carbonate (magnesite),251910,Natural magnesium carbonate (magnesite)
