HS 1988/92 Product Code,HS 1988/92 Product Description,CCCN Product Code,CCCN Product Description
030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan",0301B,"Fish frozen,excluding fillets"
030331,Frozen halibut,0301B,"Fish frozen,excluding fillets"
030332,Frozen plaice,0301B,"Fish frozen,excluding fillets"
030333,Frozen sole,0301B,"Fish frozen,excluding fillets"
030339,"Frozen flat fish (excl. halibut, plaice and sol",0301B,"Fish frozen,excluding fillets"
030341,Frozen albacore or longfinned tunas,0301B,"Fish frozen,excluding fillets"
030342,Frozen yellowfin tunas,0301B,"Fish frozen,excluding fillets"
030343,Frozen skipjack or stripe-bellied bonito,0301B,"Fish frozen,excluding fillets"
030349,"Frozen tunas, nes",0301B,"Fish frozen,excluding fillets"
030350,Frozen herrings (excl. livers and roes),0301B,"Fish frozen,excluding fillets"
030360,Frozen cod (excl. livers and roes),0301B,"Fish frozen,excluding fillets"
030371,"Frozen sardines, brisling or sprats",0301B,"Fish frozen,excluding fillets"
030372,Frozen haddock,0301B,"Fish frozen,excluding fillets"
030373,Frozen coalfish,0301B,"Fish frozen,excluding fillets"
030374,Frozen mackerel,0301B,"Fish frozen,excluding fillets"
030375,Frozen dogfish and sharks,0301B,"Fish frozen,excluding fillets"
030376,Frozen eels,0301B,"Fish frozen,excluding fillets"
030377,Frozen sea-bass,0301B,"Fish frozen,excluding fillets"
030378,Frozen hake,0301B,"Fish frozen,excluding fillets"
030379,"Frozen fish, nes",0301B,"Fish frozen,excluding fillets"
030380,Frozen fish livers and roes,0301D,"Fish fillets,frozen"
030410,Fresh or chilled fish fillets,0301C,"Fish fillets,fresh,chilled"
030420,Frozen fish fillets,0301D,"Fish fillets,frozen"
030490,Frozen fish meat (excl. fillets),0301B,"Fish frozen,excluding fillets"
030510,"Flours, meals and pellets of fish, fit for huma",0302A,Fish meal fit for food
030520,"Livers and roes, dried, smoked, salted or in br",0302B,Cod(not in fillets)dried
030530,"Fish fillets, dried, salted or in brine, but no",0302C,"Fish(excluding cod),salted"
030541,"Smoked Pacific, Atlantic and Danube salmon (inc",0302D,Fish smoked
030542,Smoked herrings (incl. fillets),0302D,Fish smoked
030549,Smoked fish (excl. salmon and herrings),0302D,Fish smoked
030551,"Dried cod, not smoked",0302B,Cod(not in fillets)dried
030559,"Dried fish, not smoked (excl. cod)",0302C,"Fish(excluding cod),salted"
030561,Herrings salted or in brine but not dried or sm,0302C,"Fish(excluding cod),salted"
030562,Cod salted or in brine but not dried or smoked,0302C,"Fish(excluding cod),salted"
030563,Anchovies salted or in brine but not dried or s,0302C,"Fish(excluding cod),salted"
030569,Other fish salted or in brine but not dried or,0302C,"Fish(excluding cod),salted"
030611,Frozen rock lobster and other sea crawfish,0303,"Shell fish fresh,frozen"
030612,Frozen lobsters,0303,"Shell fish fresh,frozen"
030613,Frozen shrimps and prawns,0303,"Shell fish fresh,frozen"
030614,Frozen crabs,0303,"Shell fish fresh,frozen"
030619,"Frozen crustaceans,nes,including flours,meals &",0303,"Shell fish fresh,frozen"
030621,Rock lobster and other sea crawfish (excl. froz,0303,"Shell fish fresh,frozen"
030622,Lobsters (excl.frozen),0303,"Shell fish fresh,frozen"
030623,Shrimps and prawns (excl. frozen),0303,"Shell fish fresh,frozen"
030624,Crabs (excl.frozen),0303,"Shell fish fresh,frozen"
030629,"Crustaceans not frozen,nes,includ.flours,meals,",0303,"Shell fish fresh,frozen"
030710,Oysters,0303,"Shell fish fresh,frozen"
030721,"Scallops, live, fresh or chilled",0303,"Shell fish fresh,frozen"
030729,"Scallops (excl. live, fresh or chilled)",0303,"Shell fish fresh,frozen"
030731,"Mussels, live, fresh or chilled",0303,"Shell fish fresh,frozen"
030739,"Mussels (excl. live, fresh or chilled)",0303,"Shell fish fresh,frozen"
030741,"Cuttle fish and squid, live, fresh or chilled",0303,"Shell fish fresh,frozen"
030749,"Cuttle fish and squid (excl. live, fresh or chi",0303,"Shell fish fresh,frozen"
030751,"Octopus live, fresh or chilled",0303,"Shell fish fresh,frozen"
030759,"Octopus (excl. live, fresh or chilled)",0303,"Shell fish fresh,frozen"
030760,Snails other than sea snails,0204,"Other meat nes fresh,etc"
030791,"Aquatic invertebrates, nes, live, fresh or chil",0303,"Shell fish fresh,frozen"
030799,"Aquatic invertebrates,nes,includ.flours,meals,p",0303,"Shell fish fresh,frozen"
040110,"Milk and cream of =<1% fat, not concentrated or",0401,"Milk and cream, fresh"
040120,"Milk and cream of >1% but =<6% fat, not concent",0401,"Milk and cream, fresh"
040130,"Milk and cream of >6% fat, not concentrated or",0401,"Milk and cream, fresh"
040210,Milk and cream in solid forms of =<1.5% fat,0402B,"Milk dry,1.5% fat or les"
040221,"Milk and cream in solid forms of >1.5% fat, uns",0402C,"Milk dry,over 1.5% fat"
040229,"Milk and cream in solid forms of >1.5% fat, swe",0402C,"Milk dry,over 1.5% fat"
040291,"Concentrated milk and cream, unsweetened (excl.",0402D,"Milk(excluding dry) preserved,sweet"
040299,Sweetened milk and cream (excl. in solid form),0402D,"Milk(excluding dry) preserved,sweet"
040310,Yogurt,0401,"Milk and cream, fresh"
040390,"Buttermilk, curdled milk and cream, etc (excl.",0401,"Milk and cream, fresh"
040410,"Whey & modified whey, concentrated or not, or c",0402A,Whey
040490,Products consisting of natural milk constituent,0402D,"Milk(excluding dry) preserved,sweet"
040500,Butter and other fats and oils derived from mil,0403,Butter
040610,"Fresh (unripened or uncured) cheese, including",0404,Cheese and curd
040620,Grated or powdered cheese,0404,Cheese and curd
040630,"Processed cheese, not grated or powdered",0404,Cheese and curd
040640,Blue-veined cheese,0404,Cheese and curd
040690,"Cheese, nes",0404,Cheese and curd
040700,"Birds' eggs, in shell, fresh, preserved or cook",0405A,"Eggs,birds,fresh,preserved-- in shell"
040811,Dried egg yolks,0405B,"Eggs,birds,fresh,preserved -- not in shell"
040819,Egg yolks (excl. dried),0405B,"Eggs,birds,fresh,preserved -- not in shell"
040891,"Dried birds' eggs, not in shell",0405B,"Eggs,birds,fresh,preserved -- not in shell"
040899,"Birds' eggs, not in shell (excl. dried)",0405B,"Eggs,birds,fresh,preserved -- not in shell"
040900,Natural honey,0406,Natural honey
041000,"Edible products of animal origin, nes",0407,Edible animals products  nes
050100,"Human hair and waste, unworked",0501,"Human hair,unworked,etc"
050210,"Pigs', hogs', or boars' bristles or hair",0502,"Brush-making hair,etc"
050290,Badger and other brush making hair,0502,"Brush-making hair,etc"
050300,Horsehair and waste,0503,"Horsehair uncombed,waste"
050400,"Guts, bladders and stomachs of animals (excl. f",0504,"Gut,bladders,etc nonfish"
050510,Raw feathers for stuffing; down,0507,"Birds skins,feathers,etc"
050590,Skins and parts of birds (excl. feathers for st,0507,"Birds skins,feathers,etc"
050610,Ossein and bones treated with acid,0508,"Bone,horn-core and waste"
050690,Bones and horn-cores (excl. ossein...),0508,"Bone,horn-core and waste"
050710,"Ivory, its powder and waste, unworked",0509,"Ivory,tortoise-shell etc"
050790,"Tortoise-shell, whalebone and whalebone-hair, e",0509,"Ivory,tortoise-shell etc"
050800,"Coral; shells of molluscs, crustaceans, unworke",0512,"Coral,shell and waste"
050900,Natural sponges of animal origin,0513,Natural sponges
051000,"Ambergris, castoreum, civet and musk; cantharid",0514,"Ambergris,civet,musk,etc"
051110,Bovine semen,0515,Animal products n.e.s
051191,"Products of fish, etc; dead animals of Chapter",0505,Fish waste
051199,"Animal products, nes; dead animals of Chapter 1",0515,Animal products n.e.s
060110,"Dormant bulbs, tubers... rhizomes",0601,"Bulbs,tubers,corms,etc"
060120,"Bulbs, tubers... rhizomes in growth or flower;",0601,"Bulbs,tubers,corms,etc"
060210,Unrooted cuttings and slips,0602,Other live plants
060220,"Trees,shrubs,bushes,grafted or not,of kinds whi",0602,Other live plants
060230,Rhododendrons and azaleas,0602,Other live plants
060240,Roses,0602,Other live plants
060291,Mushroom spawn,0602,Other live plants
060299,"Other live plants, nes",0602,Other live plants
060310,Fresh cut flowers and buds,0603,Cut flowers
060390,"Dried, dyed, bleached or otherwise prepared cut",0603,Cut flowers
060410,"Moses and lichens for ornamental purposes, fres",0604,Cut foliage
060491,"Fresh parts of plants, without flowers or buds,",0604,Cut foliage
060499,"Parts of plants, without flowers or buds, for o",0604,Cut foliage
070110,Seed potatoes,0701A,Potatoes fresh excluding sweet
070190,"Other potatoes, fresh or chilled",0701A,Potatoes fresh excluding sweet
070200,"Tomatoes, fresh or chilled",0701B,Tomatoes fresh
070310,"Onions and shallots, fresh or chilled",0701C,"Alliaceous vegtables,fresh"
070320,"Garlic, fresh or chilled",0701C,"Alliaceous vegtables,fresh"
070390,"Leeks and other alliaceous vegetables, nes",0701C,"Alliaceous vegtables,fresh"
070410,"Cauliflowers and headed broccoli, fresh or chil",0701D,Fresh vegetables nes
070420,"Brussels sprouts, fresh or chilled",0701D,Fresh vegetables nes
070490,"White and red cabbages, kohlrabi, kale...etc, f",0701D,Fresh vegetables nes
070511,"Cabbage lettuce, fresh or chilled",0701D,Fresh vegetables nes
070519,"Lettuce, fresh or chilled, (excl. cabbage lettu",0701D,Fresh vegetables nes
070521,"Witloof chicory, fresh or chilled",0701D,Fresh vegetables nes
070529,"Chicory, fresh or chilled, (excl. witloof)",0701D,Fresh vegetables nes
070610,"Carrots and turnips, fresh or chilled",0701D,Fresh vegetables nes
070690,Beetroot...radishes and other similar edible ro,0701D,Fresh vegetables nes
070700,"Cucumbers and gherkins, fresh or chilled",0701D,Fresh vegetables nes
070810,"Peas, fresh or chilled",0701D,Fresh vegetables nes
070820,"Beans, fresh or chilled",0701D,Fresh vegetables nes
070890,"Leguminous vegetables, fresh or chilled, nes",0701D,Fresh vegetables nes
070910,"Globe artichokes, fresh or chilled",0701D,Fresh vegetables nes
070920,"Asparagus, fresh or chilled",0701D,Fresh vegetables nes
