HS 1988/92 Product Code,HS 1988/92 Product Description,GTAP Product Code,GTAP Product Description
121292,"Sugar cane, fresh or dried",06,"C_B - Sugar cane, sugar beet"
520100,"Cotton, not carded or combed",07,PFB - Plant-based fibers
530110,"Flax, raw or retted",07,PFB - Plant-based fibers
530210,"True hemp, raw or retted",07,PFB - Plant-based fibers
530310,"Jute, etc (excl. flax, true hemp and ramie), ra",07,PFB - Plant-based fibers
530410,Sisal and other textile fibres of the genus Aga,07,PFB - Plant-based fibers
530511,Raw coconut fibres,07,PFB - Plant-based fibers
530521,Raw albaca fibres,07,PFB - Plant-based fibers
530591,"Raw ramie and other vegetable textile fibres, n",07,PFB - Plant-based fibers
060110,"Dormant bulbs, tubers... rhizomes",08,OCR - Crops n.e.c.
060120,"Bulbs, tubers... rhizomes in growth or flower;",08,OCR - Crops n.e.c.
060210,Unrooted cuttings and slips,08,OCR - Crops n.e.c.
060220,"Trees,shrubs,bushes,grafted or not,of kinds whi",08,OCR - Crops n.e.c.
060230,Rhododendrons and azaleas,08,OCR - Crops n.e.c.
060240,Roses,08,OCR - Crops n.e.c.
060291,Mushroom spawn,08,OCR - Crops n.e.c.
060299,"Other live plants, nes",08,OCR - Crops n.e.c.
060310,Fresh cut flowers and buds,08,OCR - Crops n.e.c.
060390,"Dried, dyed, bleached or otherwise prepared cut",08,OCR - Crops n.e.c.
090111,"Coffee, not roasted or decaffeinated",08,OCR - Crops n.e.c.
090220,"Green tea, nes",08,OCR - Crops n.e.c.
090240,"Black tea (fermented) and partly fermented tea,",08,OCR - Crops n.e.c.
090300,Mate,08,OCR - Crops n.e.c.
090411,Dried pepper (excl. crushed or ground),08,OCR - Crops n.e.c.
090412,"Pepper, crushed or ground",08,OCR - Crops n.e.c.
090420,"Fruits of genus Capiscum or Pimenta, dried, cru",08,OCR - Crops n.e.c.
090500,Vanilla,08,OCR - Crops n.e.c.
090610,"Cinnamon and cinnamon-tree flowers, neither cru",08,OCR - Crops n.e.c.
090620,"Cinnamon and cinnamon-tree flowers, crushed or",08,OCR - Crops n.e.c.
090700,"Cloves (whole fruit, cloves and stems)",08,OCR - Crops n.e.c.
090810,Nutmeg,08,OCR - Crops n.e.c.
090820,Mace,08,OCR - Crops n.e.c.
